,date,month,hour,2018_values,2019_values,2020_values,2021_values,2022_values,2023_values
0,01,01,00,1566.12,1348.33,1337.38,1363.04,1339.8,1266.1
1,01,01,01,1460.45,1291.21,1293.37,1309.83,1283.86,1214.75
2,01,01,02,1423.79,1239.81,1241.41,1260.21,1243.84,1166.02
3,01,01,03,1380.47,1223.86,1197.14,1231.28,1229.96,1121.3
4,01,01,04,1297.33,1224.25,1183.64,1234.17,1200.01,1098.68
5,01,01,05,1266.82,1270.6,1209.29,1266.14,1239.15,1098.77
6,01,01,06,1311.16,1280.91,1224.31,1308.99,1273.19,1136.48
7,01,01,07,1315.06,1325.01,1270.37,1351.14,1303.34,1204.9
8,01,01,08,1353.13,1394.05,1343.11,1408.9,1367.56,1299.6
9,01,01,09,1458.2,1488.29,1438.4,1505.95,1454.03,1370.78
10,01,01,10,1531.72,1577.82,1494.29,1567.54,1498.86,1431.79
11,01,01,11,1553.19,1596.03,1522.92,1605.16,1540.59,1472.49
12,01,01,12,1565.36,1586.9,1529.48,1613.36,1567.76,1497.07
13,01,01,13,1609.96,1611.4,1546.11,1615.28,1565.29,1485.19
14,01,01,14,1615.82,1625.65,1589.98,1648.24,1610.46,1467.36
15,01,01,15,1751.91,1788.6,1703.86,1733.39,1708.24,1558.66
16,01,01,16,1825.15,1872.0,1820.67,1826.01,1804.88,1657.56
17,01,01,17,1785.52,1834.69,1766.62,1810.45,1787.78,1621.7
18,01,01,18,1707.55,1725.51,1670.67,1728.46,1696.42,1519.93
19,01,01,19,1623.58,1644.42,1585.86,1630.74,1611.07,1442.49
20,01,01,20,1507.85,1526.1,1498.42,1538.58,1535.71,1372.29
21,01,01,21,1411.22,1442.1,1418.22,1460.36,1448.43,1302.06
22,01,01,22,1337.91,1354.49,1323.7,1368.53,1369.34,1237.16
23,01,01,23,1245.04,1280.55,1242.35,1286.8,1302.23,1185.15
24,02,01,00,1202.53,1252.23,1184.07,1216.54,1240.31,1160.25
25,02,01,01,1178.48,1232.18,1168.88,1194.48,1228.9,1148.4
26,02,01,02,1179.5,1248.84,1182.93,1184.74,1186.4,1124.48
27,02,01,03,1246.73,1267.91,1201.74,1191.49,1186.27,1134.42
28,02,01,04,1344.98,1356.47,1279.9,1215.92,1206.0,1221.3
29,02,01,05,1553.63,1535.93,1449.86,1276.85,1270.92,1390.69
30,02,01,06,1742.12,1773.19,1640.1,1359.05,1337.94,1593.75
31,02,01,07,1865.78,1890.48,1778.13,1460.66,1435.63,1703.82
32,02,01,08,1906.32,1941.39,1820.77,1573.13,1531.51,1748.48
33,02,01,09,1945.35,1958.27,1879.43,1669.38,1635.02,1782.42
34,02,01,10,1946.92,1953.04,1898.31,1710.27,1671.62,1795.19
35,02,01,11,1928.14,1965.25,1898.29,1717.15,1698.1,1791.72
36,02,01,12,1909.8,1958.34,1901.52,1707.08,1701.35,1791.17
37,02,01,13,1892.89,1935.7,1884.66,1705.77,1701.47,1772.42
38,02,01,14,1890.92,1893.89,1896.0,1721.73,1728.37,1761.93
39,02,01,15,2056.04,2000.69,1981.08,1852.85,1826.66,1846.17
40,02,01,16,2176.95,2181.46,2088.92,2025.06,1977.83,1927.23
41,02,01,17,2085.08,2143.5,2026.91,2014.87,1953.55,1839.23
42,02,01,18,1929.95,2012.7,1886.78,1856.38,1816.7,1730.45
43,02,01,19,1797.46,1874.11,1747.02,1724.04,1711.83,1603.67
44,02,01,20,1717.04,1751.79,1611.36,1618.8,1603.45,1490.86
45,02,01,21,1573.78,1611.07,1519.5,1520.43,1503.33,1415.19
46,02,01,22,1450.53,1474.2,1391.48,1434.31,1417.66,1321.79
