,hour,month,date,year,values
0,0.0,1.0,1.0,2018.0,2.5680000000000005
1,1.0,1.0,1.0,2018.0,0.11499999999999932
2,2.0,1.0,1.0,2018.0,3.244000000000001
3,3.0,1.0,1.0,2018.0,-4.385
4,4.0,1.0,1.0,2018.0,1.705000000000001
5,5.0,1.0,1.0,2018.0,-1.378000000000001
6,6.0,1.0,1.0,2018.0,-18.647999999999996
7,7.0,1.0,1.0,2018.0,-22.771
8,8.0,1.0,1.0,2018.0,18.088
9,9.0,1.0,1.0,2018.0,17.113
10,10.0,1.0,1.0,2018.0,-6.889000000000001
11,11.0,1.0,1.0,2018.0,-6.904999999999999
12,12.0,1.0,1.0,2018.0,-10.807999999999998
13,13.0,1.0,1.0,2018.0,-1.404
14,14.0,1.0,1.0,2018.0,-10.603000000000002
15,15.0,1.0,1.0,2018.0,-7.042
16,16.0,1.0,1.0,2018.0,-35.003
17,17.0,1.0,1.0,2018.0,-20.631000000000004
18,18.0,1.0,1.0,2018.0,-4.07
19,19.0,1.0,1.0,2018.0,7.028999999999998
20,20.0,1.0,1.0,2018.0,-3.2810000000000006
21,21.0,1.0,1.0,2018.0,3.298
22,22.0,1.0,1.0,2018.0,-0.20500000000000096
23,23.0,1.0,1.0,2018.0,0.39199999999999946
24,0.0,1.0,2.0,2018.0,-0.14400000000000102
25,1.0,1.0,2.0,2018.0,2.614
26,2.0,1.0,2.0,2018.0,-1.3200000000000003
27,3.0,1.0,2.0,2018.0,-0.6839999999999984
28,4.0,1.0,2.0,2018.0,0.9320000000000004
29,5.0,1.0,2.0,2018.0,-0.3979999999999997
30,6.0,1.0,2.0,2018.0,-21.548
31,7.0,1.0,2.0,2018.0,-28.903
32,8.0,1.0,2.0,2018.0,16.480999999999998
33,9.0,1.0,2.0,2018.0,14.59
34,10.0,1.0,2.0,2018.0,2.237
35,11.0,1.0,2.0,2018.0,2.3580000000000005
36,12.0,1.0,2.0,2018.0,9.044
37,13.0,1.0,2.0,2018.0,9.443
38,14.0,1.0,2.0,2018.0,3.290000000000001
39,15.0,1.0,2.0,2018.0,6.704999999999999
40,16.0,1.0,2.0,2018.0,-3.8640000000000008
41,17.0,1.0,2.0,2018.0,-9.533000000000001
42,18.0,1.0,2.0,2018.0,9.327999999999996
43,19.0,1.0,2.0,2018.0,17.503999999999998
44,20.0,1.0,2.0,2018.0,-0.6680000000000001
45,21.0,1.0,2.0,2018.0,3.851
46,22.0,1.0,2.0,2018.0,-1.6060000000000008
47,23.0,1.0,2.0,2018.0,2.366999999999999
48,0.0,1.0,3.0,2018.0,3.591000000000001
49,1.0,1.0,3.0,2018.0,1.3560000000000016
