,Unnamed: 0,values,date,month,year,hour
0,,4056.0,1.0,1.0,2022.0,0.0
1,,3399.0,1.0,1.0,2022.0,1.0
2,,3916.0,1.0,1.0,2022.0,2.0
3,,4067.0,1.0,1.0,2022.0,3.0
4,,3781.0,1.0,1.0,2022.0,4.0
5,,3046.0,1.0,1.0,2022.0,5.0
6,,11544.0,1.0,1.0,2022.0,6.0
7,,10169.0,1.0,1.0,2022.0,7.0
8,,8040.0,1.0,1.0,2022.0,8.0
9,,8165.0,1.0,1.0,2022.0,9.0
10,,3915.0,1.0,1.0,2022.0,10.0
11,,51619.0,1.0,1.0,2022.0,11.0
12,,5224.0,1.0,1.0,2022.0,12.0
13,,4532.0,1.0,1.0,2022.0,13.0
14,,5089.0,1.0,1.0,2022.0,14.0
15,,5910.0,1.0,1.0,2022.0,15.0
16,,14769.0,1.0,1.0,2022.0,16.0
17,,21221.0,1.0,1.0,2022.0,17.0
18,,99250.0,1.0,1.0,2022.0,18.0
19,,4897.0,1.0,1.0,2022.0,19.0
20,,4115.0,1.0,1.0,2022.0,20.0
21,,3914.0,1.0,1.0,2022.0,21.0
22,,22855.0,1.0,1.0,2022.0,22.0
23,,4888.0,1.0,1.0,2022.0,23.0
24,,3152.0,2.0,1.0,2022.0,0.0
25,,3870.0,2.0,1.0,2022.0,1.0
26,,4936.0,2.0,1.0,2022.0,2.0
27,,3220.0,2.0,1.0,2022.0,3.0
28,,4276.0,2.0,1.0,2022.0,4.0
29,,4106.0,2.0,1.0,2022.0,5.0
30,,11348.0,2.0,1.0,2022.0,6.0
31,,13317.0,2.0,1.0,2022.0,7.0
32,,9645.0,2.0,1.0,2022.0,8.0
33,,9142.0,2.0,1.0,2022.0,9.0
34,,5289.0,2.0,1.0,2022.0,10.0
35,,6782.0,2.0,1.0,2022.0,11.0
36,,5588.0,2.0,1.0,2022.0,12.0
37,,6007.0,2.0,1.0,2022.0,13.0
38,,53234.0,2.0,1.0,2022.0,14.0
39,,5293.0,2.0,1.0,2022.0,15.0
40,,8808.0,2.0,1.0,2022.0,16.0
41,,18247.0,2.0,1.0,2022.0,17.0
42,,16704.0,2.0,1.0,2022.0,18.0
43,,6992.0,2.0,1.0,2022.0,19.0
44,,3492.0,2.0,1.0,2022.0,20.0
45,,4255.0,2.0,1.0,2022.0,21.0
46,,4562.0,2.0,1.0,2022.0,22.0
47,,3971.0,2.0,1.0,2022.0,23.0
48,,4331.0,3.0,1.0,2022.0,0.0
49,,5180.0,3.0,1.0,2022.0,1.0
50,,3857.0,3.0,1.0,2022.0,2.0
51,,4018.0,3.0,1.0,2022.0,3.0
52,,3689.0,3.0,1.0,2022.0,4.0
53,,7791.0,3.0,1.0,2022.0,5.0
54,,10774.0,3.0,1.0,2022.0,6.0
55,,12018.0,3.0,1.0,2022.0,7.0
56,,8277.0,3.0,1.0,2022.0,8.0
57,,9419.0,3.0,1.0,2022.0,9.0
58,,4615.0,3.0,1.0,2022.0,10.0
59,,5513.0,3.0,1.0,2022.0,11.0
60,,5950.0,3.0,1.0,2022.0,12.0
61,,5451.0,3.0,1.0,2022.0,13.0
62,,6123.0,3.0,1.0,2022.0,14.0
63,,5467.0,3.0,1.0,2022.0,15.0
64,,12179.0,3.0,1.0,2022.0,16.0
65,,23686.0,3.0,1.0,2022.0,17.0
66,,14493.0,3.0,1.0,2022.0,18.0
67,,5431.0,3.0,1.0,2022.0,19.0
68,,4652.0,3.0,1.0,2022.0,20.0
69,,23764.999999999996,3.0,1.0,2022.0,21.0
70,,4242.0,3.0,1.0,2022.0,22.0
71,,4193.0,3.0,1.0,2022.0,23.0
72,,4263.0,4.0,1.0,2022.0,0.0
73,,3875.0,4.0,1.0,2022.0,1.0
74,,3210.0,4.0,1.0,2022.0,2.0
75,,4046.0,4.0,1.0,2022.0,3.0
76,,4408.0,4.0,1.0,2022.0,4.0
77,,3764.0,4.0,1.0,2022.0,5.0
78,,11624.0,4.0,1.0,2022.0,6.0
79,,111016.0,4.0,1.0,2022.0,7.0
80,,9887.0,4.0,1.0,2022.0,8.0
81,,9284.0,4.0,1.0,2022.0,9.0
82,,30136.0,4.0,1.0,2022.0,10.0
83,,7192.0,4.0,1.0,2022.0,11.0
84,,7121.0,4.0,1.0,2022.0,12.0
85,,4654.0,4.0,1.0,2022.0,13.0
86,,4794.0,4.0,1.0,2022.0,14.0
87,,5567.0,4.0,1.0,2022.0,15.0
88,,12833.0,4.0,1.0,2022.0,16.0
89,,19683.0,4.0,1.0,2022.0,17.0
90,,15272.0,4.0,1.0,2022.0,18.0
91,,5048.0,4.0,1.0,2022.0,19.0
92,,33916.0,4.0,1.0,2022.0,20.0
93,,4415.0,4.0,1.0,2022.0,21.0
94,,3661.0,4.0,1.0,2022.0,22.0
95,,23169.0,4.0,1.0,2022.0,23.0
96,,3804.0,5.0,1.0,2022.0,0.0
97,,7335.0,5.0,1.0,2022.0,1.0
98,,4603.0,5.0,1.0,2022.0,2.0
99,,3325.0,5.0,1.0,2022.0,3.0
100,,5439.0,5.0,1.0,2022.0,4.0
101,,3294.0,5.0,1.0,2022.0,5.0
102,,11805.0,5.0,1.0,2022.0,6.0
103,,10204.0,5.0,1.0,2022.0,7.0
104,,7825.0,5.0,1.0,2022.0,8.0
105,,9344.0,5.0,1.0,2022.0,9.0
106,,6036.0,5.0,1.0,2022.0,10.0
107,,5604.0,5.0,1.0,2022.0,11.0
108,,4258.0,5.0,1.0,2022.0,12.0
109,,5884.0,5.0,1.0,2022.0,13.0
110,,7274.0,5.0,1.0,2022.0,14.0
111,,6739.0,5.0,1.0,2022.0,15.0
112,,13735.0,5.0,1.0,2022.0,16.0
113,,18368.0,5.0,1.0,2022.0,17.0
114,,15014.0,5.0,1.0,2022.0,18.0
115,,7336.0,5.0,1.0,2022.0,19.0
116,,5506.0,5.0,1.0,2022.0,20.0
117,,3631.0,5.0,1.0,2022.0,21.0
118,,4894.0,5.0,1.0,2022.0,22.0
119,,4318.0,5.0,1.0,2022.0,23.0
120,,3270.0,6.0,1.0,2022.0,0.0
121,,4665.0,6.0,1.0,2022.0,1.0
122,,3258.0,6.0,1.0,2022.0,2.0
123,,3953.0,6.0,1.0,2022.0,3.0
124,,55096.0,6.0,1.0,2022.0,4.0
125,,4907.0,6.0,1.0,2022.0,5.0
126,,11128.0,6.0,1.0,2022.0,6.0
127,,12650.0,6.0,1.0,2022.0,7.0
128,,10370.0,6.0,1.0,2022.0,8.0
129,,9931.0,6.0,1.0,2022.0,9.0
130,,6730.0,6.0,1.0,2022.0,10.0
131,,8444.0,6.0,1.0,2022.0,11.0
132,,6468.0,6.0,1.0,2022.0,12.0
133,,6416.0,6.0,1.0,2022.0,13.0
134,,4770.0,6.0,1.0,2022.0,14.0
135,,6091.0,6.0,1.0,2022.0,15.0
136,,77076.0,6.0,1.0,2022.0,16.0
137,,19928.0,6.0,1.0,2022.0,17.0
138,,14949.0,6.0,1.0,2022.0,18.0
139,,6396.0,6.0,1.0,2022.0,19.0
140,,3922.0,6.0,1.0,2022.0,20.0
141,,3924.0,6.0,1.0,2022.0,21.0
142,,4344.0,6.0,1.0,2022.0,22.0
143,,3934.0,6.0,1.0,2022.0,23.0
144,,3633.0,7.0,1.0,2022.0,0.0
145,,4839.0,7.0,1.0,2022.0,1.0
146,,3680.0,7.0,1.0,2022.0,2.0
147,,4674.0,7.0,1.0,2022.0,3.0
148,,4044.0,7.0,1.0,2022.0,4.0
149,,4481.0,7.0,1.0,2022.0,5.0
150,,11529.0,7.0,1.0,2022.0,6.0
151,,9397.0,7.0,1.0,2022.0,7.0
152,,8927.0,7.0,1.0,2022.0,8.0
153,,32376.0,7.0,1.0,2022.0,9.0
154,,9723.0,7.0,1.0,2022.0,10.0
155,,14005.0,7.0,1.0,2022.0,11.0
156,,50625.0,7.0,1.0,2022.0,12.0
157,,33812.0,7.0,1.0,2022.0,13.0
158,,5741.0,7.0,1.0,2022.0,14.0
159,,8577.0,7.0,1.0,2022.0,15.0
160,,15787.0,7.0,1.0,2022.0,16.0
161,,17684.0,7.0,1.0,2022.0,17.0
162,,15975.0,7.0,1.0,2022.0,18.0
163,,9331.0,7.0,1.0,2022.0,19.0
164,,4006.0,7.0,1.0,2022.0,20.0
165,,3180.0,7.0,1.0,2022.0,21.0
166,,3823.0,7.0,1.0,2022.0,22.0
167,,4412.0,7.0,1.0,2022.0,23.0
168,,3888.0,8.0,1.0,2022.0,0.0
169,,3076.0,8.0,1.0,2022.0,1.0
170,,3959.0,8.0,1.0,2022.0,2.0
171,,4044.0,8.0,1.0,2022.0,3.0
172,,3982.0,8.0,1.0,2022.0,4.0
173,,3317.0,8.0,1.0,2022.0,5.0
174,,11151.0,8.0,1.0,2022.0,6.0
175,,10669.0,8.0,1.0,2022.0,7.0
