,date,month,hour,covariance_value_with_DK1,covariance_value_with_DK2,strength_with_DK1,strength_with_DK2
0,1.0,1.0,0.0,-0.1085210014246345,0.7881797823861041,weak negative,very strong positive
1,1.0,1.0,1.0,-0.1861404295280819,0.811898908652765,weak negative,very strong positive
2,1.0,1.0,2.0,-0.162954268323575,0.7802038725381579,weak negative,very strong positive
3,1.0,1.0,3.0,-0.18878331213798624,0.7879629132559925,weak negative,very strong positive
4,1.0,1.0,4.0,-0.1703598484638559,0.8262224985711997,weak negative,very strong positive
5,1.0,1.0,5.0,-0.10971497146713166,0.7090268696917733,weak negative,very strong positive
6,1.0,1.0,6.0,-0.03355663639518011,0.6534313005394301,weak negative,strong positive
7,1.0,1.0,7.0,-0.061647444871512,0.555604948617697,weak negative,strong positive
8,1.0,1.0,8.0,-0.011717953225628741,-0.38642439471938117,weak negative,moderate negative
9,1.0,1.0,9.0,-0.005428048745756364,-0.5368586948641811,weak negative,strong negative
10,1.0,1.0,10.0,0.05542017602094024,0.6566492133540386,weak positive,strong positive
11,1.0,1.0,11.0,0.08631911543587184,0.5323081453566384,weak positive,strong positive
12,1.0,1.0,12.0,0.008007827200976064,0.4071478027679406,weak positive,moderate positive
13,1.0,1.0,13.0,0.0834457376626023,0.7225067070528234,weak positive,very strong positive
14,1.0,1.0,14.0,0.08785170123968528,0.6053937927964189,weak positive,strong positive
15,1.0,1.0,15.0,0.1714155580909392,0.7945440336723264,weak positive,very strong positive
16,1.0,1.0,16.0,0.19942015018884343,0.7489434544194201,weak positive,very strong positive
17,1.0,1.0,17.0,0.2721789495177596,0.6501522980275387,weak positive,strong positive
18,1.0,1.0,18.0,0.2912570293160066,0.6569139931531726,weak positive,strong positive
19,1.0,1.0,19.0,-0.23162872849233263,-0.6860385849520437,weak negative,strong negative
20,1.0,1.0,20.0,0.17226724947932404,0.5181464539951746,weak positive,strong positive
21,1.0,1.0,21.0,0.11762416857305957,0.44664362905925376,weak positive,moderate positive
22,1.0,1.0,22.0,0.00010926187988577474,0.4462967425815794,weak positive,moderate positive
23,1.0,1.0,23.0,0.018618781656855987,0.2402932103234475,weak positive,weak positive
24,2.0,1.0,0.0,0.04309317334597887,0.331331103312897,weak positive,moderate positive
25,2.0,1.0,1.0,0.0005407831184246481,0.21711399705023957,weak positive,weak positive
26,2.0,1.0,2.0,0.03341541729667444,0.624643081118141,weak positive,strong positive
27,2.0,1.0,3.0,0.10457757488365779,0.9211840528044904,weak positive,very strong positive
28,2.0,1.0,4.0,0.11725761084197084,0.9021245056672635,weak positive,very strong positive
29,2.0,1.0,5.0,0.28160429525320985,0.7758333734300121,weak positive,very strong positive
30,2.0,1.0,6.0,0.37426716389077674,0.6659788297356461,moderate positive,strong positive
31,2.0,1.0,7.0,0.42983923427485093,0.67216167535059,moderate positive,strong positive
32,2.0,1.0,8.0,-0.42220633129971696,-0.7113927696009826,moderate negative,very strong negative
33,2.0,1.0,9.0,-0.3774230316024513,-0.7688518980286979,moderate negative,very strong negative
34,2.0,1.0,10.0,0.33657217659678074,0.7872748262996836,moderate positive,very strong positive
35,2.0,1.0,11.0,0.3006160517320253,0.7860544457834442,moderate positive,very strong positive
36,2.0,1.0,12.0,-0.30878843843827364,-0.7542171125542139,moderate negative,very strong negative
37,2.0,1.0,13.0,-0.32474924025535923,-0.7759673886623224,moderate negative,very strong negative
38,2.0,1.0,14.0,0.3448166140476908,0.8114435590497849,moderate positive,very strong positive
39,2.0,1.0,15.0,-0.400458810859615,-0.9362476951381046,moderate negative,very strong negative
40,2.0,1.0,16.0,0.4551458600706989,0.9818787478400048,moderate positive,very strong positive
41,2.0,1.0,17.0,0.4731499664173326,0.9138473432348995,moderate positive,very strong positive
42,2.0,1.0,18.0,0.4392334951822696,0.893350647599808,moderate positive,very strong positive
43,2.0,1.0,19.0,-0.4003195629202552,-0.8736364328656658,moderate negative,very strong negative
44,2.0,1.0,20.0,0.33867540716166344,0.9049304616232332,moderate positive,very strong positive
45,2.0,1.0,21.0,0.2692588262806713,0.8928443649243415,weak positive,very strong positive
46,2.0,1.0,22.0,0.18726391762387423,0.768232295015401,weak positive,very strong positive
47,2.0,1.0,23.0,0.12333972682740929,0.47801327270354926,weak positive,moderate positive
48,3.0,1.0,0.0,0.059041531546600134,0.19892313040914666,weak positive,weak positive
49,3.0,1.0,1.0,0.052902222338071736,-0.23351350853102873,weak positive,weak negative
50,3.0,1.0,2.0,0.07831693719840288,-0.2321255026156403,weak positive,weak negative
51,3.0,1.0,3.0,0.12107543637235074,-0.09213021591708082,weak positive,weak negative
52,3.0,1.0,4.0,0.23146706878155068,0.6071381030753965,weak positive,strong positive
53,3.0,1.0,5.0,0.3799721413908761,0.6376833957249161,moderate positive,strong positive
54,3.0,1.0,6.0,0.4642974546664599,0.6057110967776052,moderate positive,strong positive
55,3.0,1.0,7.0,0.5057871267499819,0.5697864856861965,strong positive,strong positive
56,3.0,1.0,8.0,-0.5430782205645834,-0.608565975366447,strong negative,strong negative
57,3.0,1.0,9.0,-0.5718752344161865,-0.5395366514296343,strong negative,strong negative
58,3.0,1.0,10.0,0.6368913500083716,0.6016986022460484,strong positive,strong positive
59,3.0,1.0,11.0,-0.5651823438267972,-0.705914395383717,strong negative,very strong negative
60,3.0,1.0,12.0,-0.5460130693433806,-0.7251187691035033,strong negative,very strong negative
61,3.0,1.0,13.0,0.5464165451158545,0.662758652265359,strong positive,strong positive
62,3.0,1.0,14.0,-0.49996773137892936,-0.7124028064906849,moderate negative,very strong negative
63,3.0,1.0,15.0,0.502988411903562,0.7401326000869631,strong positive,very strong positive
64,3.0,1.0,16.0,0.5123477432444392,0.7275370990337997,strong positive,very strong positive
65,3.0,1.0,17.0,0.5107078785500769,0.7170927954916202,strong positive,very strong positive
66,3.0,1.0,18.0,0.3993863417093165,0.7143286545145583,moderate positive,very strong positive
67,3.0,1.0,19.0,-0.39727993686550267,-0.6585072469089195,moderate negative,strong negative
68,3.0,1.0,20.0,-0.36083434499768374,-0.7049629425420302,moderate negative,very strong negative
69,3.0,1.0,21.0,0.3103017972056379,0.7569849276896156,moderate positive,very strong positive
70,3.0,1.0,22.0,0.1277306859487631,0.5804148625568445,weak positive,strong positive
71,3.0,1.0,23.0,0.0459995622579151,0.33658435915135343,weak positive,moderate positive
72,4.0,1.0,0.0,0.010639721510168093,-0.13290233348088226,weak positive,weak negative
73,4.0,1.0,1.0,-0.01713164968224684,-0.39749667085654977,weak negative,moderate negative
74,4.0,1.0,2.0,-0.09226191411090356,-0.20768994441686553,weak negative,weak negative
75,4.0,1.0,3.0,-0.0792179687516483,-0.10155273432821724,weak negative,weak negative
76,4.0,1.0,4.0,-0.019791980257640118,0.17485993803672176,weak negative,weak positive
77,4.0,1.0,5.0,0.10096090255387175,0.14324529220745058,weak positive,weak positive
78,4.0,1.0,6.0,0.17938228749849236,0.04751696832745183,weak positive,weak positive
79,4.0,1.0,7.0,0.18071038697036226,0.002258954328707846,weak positive,weak positive
80,4.0,1.0,8.0,-0.18141327141562724,-0.019321311061654495,weak negative,weak negative
81,4.0,1.0,9.0,-0.12401042894332864,-0.01610359003512247,weak negative,weak negative
82,4.0,1.0,10.0,0.043674398861411334,-0.012196943945791766,weak positive,weak negative
83,4.0,1.0,11.0,-0.00019496860622761347,-0.03457677458089849,weak negative,weak negative
84,4.0,1.0,12.0,0.035016835439146604,-0.014972294748065523,weak positive,weak negative
85,4.0,1.0,13.0,0.02481888021971171,-0.05396507458824058,weak positive,weak negative
86,4.0,1.0,14.0,0.065153867994867,0.04612835630744984,weak positive,weak positive
87,4.0,1.0,15.0,0.10821095379084925,0.24577834555782138,weak positive,weak positive
88,4.0,1.0,16.0,0.16251625007860365,0.36603571339014995,weak positive,moderate positive
89,4.0,1.0,17.0,0.1876743150473115,0.4166407581725769,weak positive,moderate positive
90,4.0,1.0,18.0,0.13052042499521305,0.39350586461968917,weak positive,moderate positive
91,4.0,1.0,19.0,-0.041152141363611394,-0.34295818195064687,weak negative,moderate negative
92,4.0,1.0,20.0,-0.024836587816792377,0.31000871898996407,weak negative,moderate positive
93,4.0,1.0,21.0,-0.04004658444620554,0.1892245076755809,weak negative,weak positive
94,4.0,1.0,22.0,-0.11368135505314741,0.11462844825430632,weak negative,weak positive
95,4.0,1.0,23.0,-0.25019353282717666,-0.18385524002886955,weak negative,weak negative
96,5.0,1.0,0.0,-0.29874748357092873,-0.3637202182586872,weak negative,moderate negative
97,5.0,1.0,1.0,-0.3023511002507395,-0.4045903268782032,moderate negative,moderate negative
98,5.0,1.0,2.0,-0.2598625121067223,-0.44738168585327587,weak negative,moderate negative
99,5.0,1.0,3.0,-0.25857158864675445,-0.40629570403829834,weak negative,moderate negative
100,5.0,1.0,4.0,-0.2338567098336531,-0.3654956626731343,weak negative,moderate negative
101,5.0,1.0,5.0,-0.14314845603724444,-0.28427054029634374,weak negative,weak negative
102,5.0,1.0,6.0,-0.10318411491970358,-0.29002463172557535,weak negative,weak negative
103,5.0,1.0,7.0,-0.0732304340736403,-0.24733890188162672,weak negative,weak negative
104,5.0,1.0,8.0,0.06980900211772331,0.21621498928246666,weak positive,weak positive
105,5.0,1.0,9.0,0.04296387809536731,0.18575705881054166,weak positive,weak positive
106,5.0,1.0,10.0,-0.035580880475508225,-0.22449475916217196,weak negative,weak negative
