,values,date,month,year,hour
0,3684.0,1,1,2021,0
1,2578.0,1,1,2021,1
2,3748.0,1,1,2021,2
3,1954.0,1,1,2021,3
4,3262.0,1,1,2021,4
5,1940.0,1,1,2021,5
6,3996.0,1,1,2021,6
7,1934.0,1,1,2021,7
8,10552.0,1,1,2021,8
9,10402.0,1,1,2021,9
10,1214.0,1,1,2021,10
11,3238.0,1,1,2021,11
12,1216.0,1,1,2021,12
13,3048.0,1,1,2021,13
14,1166.0,1,1,2021,14
15,2672.0,1,1,2021,15
16,2326.0,1,1,2021,16
17,10758.0,1,1,2021,17
18,9700.0,1,1,2021,18
19,5430.0,1,1,2021,19
20,2266.0,1,1,2021,20
21,3760.0,1,1,2021,21
22,2510.0,1,1,2021,22
23,3764.0,1,1,2021,23
24,2328.0,2,1,2021,0
25,3556.0,2,1,2021,1
26,3372.0,2,1,2021,2
27,2244.0,2,1,2021,3
28,3440.0,2,1,2021,4
29,2980.0,2,1,2021,5
30,3124.0,2,1,2021,6
31,2762.0,2,1,2021,7
32,11354.0,2,1,2021,8
33,10504.0,2,1,2021,9
34,4526.0,2,1,2021,10
35,5676.0,2,1,2021,11
36,6452.0,2,1,2021,12
37,6866.0,2,1,2021,13
38,7268.0,2,1,2021,14
39,5646.0,2,1,2021,15
40,5640.0,2,1,2021,16
41,11302.0,2,1,2021,17
42,14860.0,2,1,2021,18
43,9620.0,2,1,2021,19
44,2452.0,2,1,2021,20
45,4154.0,2,1,2021,21
46,3020.0,2,1,2021,22
47,3570.0,2,1,2021,23
48,4146.0,3,1,2021,0
49,4224.0,3,1,2021,1
50,3614.0,3,1,2021,2
51,3880.0,3,1,2021,3
52,2994.0,3,1,2021,4
53,4166.0,3,1,2021,5
54,2360.0,3,1,2021,6
55,3808.0,3,1,2021,7
56,10558.0,3,1,2021,8
57,12126.0,3,1,2021,9
58,3734.0,3,1,2021,10
59,5802.0,3,1,2021,11
60,5988.0,3,1,2021,12
61,4474.0,3,1,2021,13
