,date,month,hour,values_2023,values_2022,values_2021,values_2020,values_2019,values_2018
0,1.0,1.0,0.0,4428.0,4056.0,3684.0,3312.0,2940.0,2568.0
1,1.0,1.0,1.0,4220.0,3399.0,2578.0,1757.0,936.0,115.0
2,1.0,1.0,2.0,4084.0,3916.0,3748.0,3580.0,3412.0,3244.0
3,1.0,1.0,3.0,6180.0,4067.0,1954.0,-159.0,-2272.0,-4385.0
4,1.0,1.0,4.0,4300.0,3781.0,3262.0,2743.0,2224.0,1705.0
5,1.0,1.0,5.0,4152.0,3046.0,1940.0,834.0,-272.0,-1378.0
6,1.0,1.0,6.0,19092.0,11544.0,3996.0,-3552.0,-11100.0,-18648.0
7,1.0,1.0,7.0,18404.0,10169.0,1934.0,-6301.0,-14536.0,-22771.0
8,1.0,1.0,8.0,5528.0,8040.0,10552.0,13064.0,15576.0,18088.0
9,1.0,1.0,9.0,5928.0,8165.0,10402.0,12639.0,14876.0,17113.0
10,1.0,1.0,10.0,6616.0,3915.0,1214.0,-1487.0,-4188.0,-6889.0
11,1.0,1.0,11.0,100000.0,51619.0,3238.0,-45143.0,-93524.0,-141905.0
12,1.0,1.0,12.0,9232.0,5224.0,1216.0,-2792.0,-6800.0,-10808.0
13,1.0,1.0,13.0,6016.0,4532.0,3048.0,1564.0,80.0,-1404.0
14,1.0,1.0,14.0,9012.0,5089.0,1166.0,-2757.0,-6680.0,-10603.0
15,1.0,1.0,15.0,9148.0,5910.0,2672.0,-566.0,-3804.0,-7042.0
16,1.0,1.0,16.0,27212.0,14769.0,2326.0,-10117.0,-22560.0,-35003.0
17,1.0,1.0,17.0,31684.0,21221.0,10758.0,295.0,-10168.0,-20631.0
18,1.0,1.0,18.0,188800.0,99250.0,9700.0,-79850.0,-169400.0,-258950.0
19,1.0,1.0,19.0,4364.0,4897.0,5430.0,5963.0,6496.0,7029.0
20,1.0,1.0,20.0,5964.0,4115.0,2266.0,417.0,-1432.0,-3281.0
21,1.0,1.0,21.0,4068.0,3914.0,3760.0,3606.0,3452.0,3298.0
22,1.0,1.0,22.0,43200.0,22855.0,2510.0,-17835.0,-38180.0,-58525.0
23,1.0,1.0,23.0,6012.0,4888.0,3764.0,2640.0,1516.0,392.0
24,2.0,1.0,0.0,3976.0,3152.0,2328.0,1504.0,680.0,-144.0
25,2.0,1.0,1.0,4184.0,3870.0,3556.0,3242.0,2928.0,2614.0
26,2.0,1.0,2.0,6500.0,4936.0,3372.0,1808.0,244.0,-1320.0
27,2.0,1.0,3.0,4196.0,3220.0,2244.0,1268.0,292.0,-684.0
28,2.0,1.0,4.0,5112.0,4276.0,3440.0,2604.0,1768.0,932.0
29,2.0,1.0,5.0,5232.0,4106.0,2980.0,1854.0,728.0,-398.0
30,2.0,1.0,6.0,19572.0,11348.0,3124.0,-5100.0,-13324.0,-21548.0
31,2.0,1.0,7.0,23872.0,13317.0,2762.0,-7793.0,-18348.0,-28903.0
32,2.0,1.0,8.0,7936.0,9645.0,11354.0,13063.0,14772.0,16481.0
33,2.0,1.0,9.0,7780.0,9142.0,10504.0,11866.0,13228.0,14590.0
34,2.0,1.0,10.0,6052.0,5289.0,4526.0,3763.0,3000.0,2237.0
35,2.0,1.0,11.0,7888.0,6782.0,5676.0,4570.0,3464.0,2358.0
36,2.0,1.0,12.0,4724.0,5588.0,6452.0,7316.0,8180.0,9044.0
37,2.0,1.0,13.0,5148.0,6007.0,6866.0,7725.0,8584.0,9443.0
38,2.0,1.0,14.0,99200.0,53234.0,7268.0,-38698.0,-84664.0,-130630.0
39,2.0,1.0,15.0,4940.0,5293.0,5646.0,5999.0,6352.0,6705.0
40,2.0,1.0,16.0,11976.0,8808.0,5640.0,2472.0,-696.0,-3864.0
41,2.0,1.0,17.0,25192.0,18247.0,11302.0,4357.0,-2588.0,-9533.0
42,2.0,1.0,18.0,18548.0,16704.0,14860.0,13016.0,11172.0,9328.0
43,2.0,1.0,19.0,4364.0,6992.0,9620.0,12248.0,14876.0,17504.0
44,2.0,1.0,20.0,4532.0,3492.0,2452.0,1412.0,372.0,-668.0
45,2.0,1.0,21.0,4356.0,4255.0,4154.0,4053.0,3952.0,3851.0
46,2.0,1.0,22.0,6104.0,4562.0,3020.0,1478.0,-64.0,-1606.0
47,2.0,1.0,23.0,4372.0,3971.0,3570.0,3169.0,2768.0,2367.0
48,3.0,1.0,0.0,4516.0,4331.0,4146.0,3961.0,3776.0,3591.0
49,3.0,1.0,1.0,6136.0,5180.0,4224.0,3268.0,2312.0,1356.0
50,3.0,1.0,2.0,4100.0,3857.0,3614.0,3371.0,3128.0,2885.0
51,3.0,1.0,3.0,4156.0,4018.0,3880.0,3742.0,3604.0,3466.0
52,3.0,1.0,4.0,4384.0,3689.0,2994.0,2299.0,1604.0,909.0
53,3.0,1.0,5.0,11416.0,7791.0,4166.0,541.0,-3084.0,-6709.0
54,3.0,1.0,6.0,19188.0,10774.0,2360.0,-6054.0,-14468.0,-22882.0
55,3.0,1.0,7.0,20228.0,12018.0,3808.0,-4402.0,-12612.0,-20822.0
56,3.0,1.0,8.0,5996.0,8277.0,10558.0,12839.0,15120.0,17401.0
57,3.0,1.0,9.0,6712.0,9419.0,12126.0,14833.0,17540.0,20247.0
58,3.0,1.0,10.0,5496.0,4615.0,3734.0,2853.0,1972.0,1091.0
59,3.0,1.0,11.0,5224.0,5513.0,5802.0,6091.0,6380.0,6669.0
60,3.0,1.0,12.0,5912.0,5950.0,5988.0,6026.0,6064.0,6102.0
61,3.0,1.0,13.0,6428.0,5451.0,4474.0,3497.0,2520.0,1543.0
62,3.0,1.0,14.0,5032.0,6123.0,7214.0,8305.0,9396.0,10487.0
63,3.0,1.0,15.0,5796.0,5467.0,5138.0,4809.0,4480.0,4151.0
64,3.0,1.0,16.0,18916.0,12179.0,5442.0,-1295.0,-8032.0,-14769.0
65,3.0,1.0,17.0,32516.0,23686.0,14856.0,6026.0,-2804.0,-11634.0
66,3.0,1.0,18.0,17512.0,14493.0,11474.0,8455.0,5436.0,2417.0
67,3.0,1.0,19.0,4484.0,5431.0,6378.0,7325.0,8272.0,9219.0
68,3.0,1.0,20.0,4448.0,4652.0,4856.0,5060.0,5264.0,5468.0
69,3.0,1.0,21.0,45600.0,23765.0,1930.0,-19905.0,-41740.0,-63575.0
70,3.0,1.0,22.0,4512.0,4242.0,3972.0,3702.0,3432.0,3162.0
71,3.0,1.0,23.0,6432.0,4193.0,1954.0,-285.0,-2524.0,-4763.0
72,4.0,1.0,0.0,4740.0,4263.0,3786.0,3309.0,2832.0,2355.0
73,4.0,1.0,1.0,4328.0,3875.0,3422.0,2969.0,2516.0,2063.0
74,4.0,1.0,2.0,4340.0,3210.0,2080.0,950.0,-180.0,-1310.0
75,4.0,1.0,3.0,4220.0,4046.0,3872.0,3698.0,3524.0,3350.0
76,4.0,1.0,4.0,6104.0,4408.0,2712.0,1016.0,-680.0,-2376.0
77,4.0,1.0,5.0,4452.0,3764.0,3076.0,2388.0,1700.0,1012.0
78,4.0,1.0,6.0,19628.0,11624.0,3620.0,-4384.0,-12388.0,-20392.0
79,4.0,1.0,7.0,218000.0,111016.0,4032.0,-102952.0,-209936.0,-316920.0
80,4.0,1.0,8.0,9204.0,9887.0,10570.0,11253.0,11936.0,12619.0
81,4.0,1.0,9.0,5776.0,9284.0,12792.0,16300.0,19808.0,23316.0
82,4.0,1.0,10.0,56400.0,30136.0,3872.0,-22392.0,-48656.0,-74920.0
83,4.0,1.0,11.0,10588.0,7192.0,3796.0,400.0,-2996.0,-6392.0
84,4.0,1.0,12.0,9232.0,7121.0,5010.0,2899.0,788.0,-1323.0
85,4.0,1.0,13.0,5188.0,4654.0,4120.0,3586.0,3052.0,2518.0
86,4.0,1.0,14.0,5904.0,4794.0,3684.0,2574.0,1464.0,354.0
87,4.0,1.0,15.0,5884.0,5567.0,5250.0,4933.0,4616.0,4299.0
88,4.0,1.0,16.0,21188.0,12833.0,4478.0,-3877.0,-12232.0,-20587.0
89,4.0,1.0,17.0,25356.0,19683.0,14010.0,8337.0,2664.0,-3009.0
90,4.0,1.0,18.0,16740.0,15272.0,13804.0,12336.0,10868.0,9400.0
