HourUTC;HourDK;PriceArea;BalancingPowerPriceDownEUR
30-12-2023;30-12-2023;DK1;30
30-12-2023;30-12-2023;DK2;30
30-12-2023;30-12-2023;DK2;50.099998
30-12-2023;30-12-2023;DK1;5,368
30-12-2023;30-12-2023;DK1;5,368
30-12-2023;30-12-2023;DK2;5,368
30-12-2023;30-12-2023;DK2;62.009998
30-12-2023;30-12-2023;DK1;62.009998
30-12-2023;30-12-2023;DK1;71.089996
30-12-2023;30-12-2023;DK2;71.089996
30-12-2023;30-12-2023;DK2;79.989998
30-12-2023;30-12-2023;DK1;79.989998
30-12-2023;30-12-2023;DK1;80.139999
30-12-2023;30-12-2023;DK2;79.919998
30-12-2023;30-12-2023;DK2;58
30-12-2023;30-12-2023;DK1;58
30-12-2023;30-12-2023;DK1;52.5
30-12-2023;30-12-2023;DK2;52.5
30-12-2023;30-12-2023;DK2;42.040001
30-12-2023;30-12-2023;DK1;42.040001
30-12-2023;30-12-2023;DK1;3,325
30-12-2023;30-12-2023;DK2;3,325
30-12-2023;30-12-2023;DK2;36.380001
30-12-2023;30-12-2023;DK1;36.380001
30-12-2023;30-12-2023;DK1;39.639999
30-12-2023;30-12-2023;DK2;39.639999
30-12-2023;30-12-2023;DK2;39.209999
30-12-2023;30-12-2023;DK1;39.209999
30-12-2023;30-12-2023;DK1;23
30-12-2023;30-12-2023;DK2;23
30-12-2023;30-12-2023;DK1;16
30-12-2023;30-12-2023;DK2;16
30-12-2023;30-12-2023;DK2;939
30-12-2023;30-12-2023;DK1;939
30-12-2023;30-12-2023;DK1;11
30-12-2023;30-12-2023;DK2;11
30-12-2023;30-12-2023;DK2;0
30-12-2023;30-12-2023;DK1;0
30-12-2023;30-12-2023;DK1;1,807
30-12-2023;30-12-2023;DK2;1,807
30-12-2023;30-12-2023;DK2;18.120001
30-12-2023;30-12-2023;DK1;18.120001
30-12-2023;30-12-2023;DK1;1,807
30-12-2023;30-12-2023;DK2;1,807
30-12-2023;30-12-2023;DK2;19.969999
30-12-2023;30-12-2023;DK1;19.969999
29-12-2023;30-12-2023;DK1;32.490002
29-12-2023;30-12-2023;DK2;2,084
29-12-2023;29-12-2023;DK1;1,935
29-12-2023;29-12-2023;DK2;1,935
29-12-2023;29-12-2023;DK1;2,534
29-12-2023;29-12-2023;DK2;2,534
29-12-2023;29-12-2023;DK2;28.129999
29-12-2023;29-12-2023;DK1;28.129999
29-12-2023;29-12-2023;DK1;3,002
29-12-2023;29-12-2023;DK2;3,002
29-12-2023;29-12-2023;DK2;3,076
29-12-2023;29-12-2023;DK1;3,076
29-12-2023;29-12-2023;DK1;34.119999
29-12-2023;29-12-2023;DK2;34.119999
29-12-2023;29-12-2023;DK2;35.869999
29-12-2023;29-12-2023;DK1;35.869999
29-12-2023;29-12-2023;DK1;40
29-12-2023;29-12-2023;DK2;3,302
29-12-2023;29-12-2023;DK2;3,065
29-12-2023;29-12-2023;DK1;1,501
29-12-2023;29-12-2023;DK1;1,295
29-12-2023;29-12-2023;DK2;30.9
29-12-2023;29-12-2023;DK2;17.5
29-12-2023;29-12-2023;DK1;1,019
29-12-2023;29-12-2023;DK1;996
29-12-2023;29-12-2023;DK2;17.5
29-12-2023;29-12-2023;DK2;1,174
29-12-2023;29-12-2023;DK1;1,174
29-12-2023;29-12-2023;DK1;1,509
29-12-2023;29-12-2023;DK2;1,552
29-12-2023;29-12-2023;DK2;1,332
29-12-2023;29-12-2023;DK1;13.2
29-12-2023;29-12-2023;DK1;-1,341
29-12-2023;29-12-2023;DK2;1,204
29-12-2023;29-12-2023;DK1;0.1
29-12-2023;29-12-2023;DK2;1,008
29-12-2023;29-12-2023;DK1;-7
29-12-2023;29-12-2023;DK2;0
29-12-2023;29-12-2023;DK1;-0.5
29-12-2023;29-12-2023;DK2;-0.5
29-12-2023;29-12-2023;DK1;-2
29-12-2023;29-12-2023;DK2;-2
29-12-2023;29-12-2023;DK1;-2
29-12-2023;29-12-2023;DK2;-2
29-12-2023;29-12-2023;DK1;-0.5
29-12-2023;29-12-2023;DK2;-0.5
29-12-2023;29-12-2023;DK1;-0.5
29-12-2023;29-12-2023;DK2;-0.5
28-12-2023;29-12-2023;DK1;-6.3
28-12-2023;29-12-2023;DK2;-6.3
28-12-2023;28-12-2023;DK2;-1,409
28-12-2023;28-12-2023;DK1;-1,409
28-12-2023;28-12-2023;DK1;5
28-12-2023;28-12-2023;DK2;5
28-12-2023;28-12-2023;DK2;17.5
28-12-2023;28-12-2023;DK1;17.5
28-12-2023;28-12-2023;DK1;17.5
28-12-2023;28-12-2023;DK2;17.5
28-12-2023;28-12-2023;DK2;24
28-12-2023;28-12-2023;DK1;24
28-12-2023;28-12-2023;DK1;45.900002
28-12-2023;28-12-2023;DK2;45.900002
28-12-2023;28-12-2023;DK2;46.830002
