HourUTC;HourDK;PriceArea;mFRRUpActBal;mFRRDownActBal;mFRRUpActSpec;mFRRDownActSpec;ImbalanceMWh;ImbalancePriceEUR;ImbalancePriceDKK;BalancingPowerPriceUpEUR;BalancingPowerPriceUpDKK;BalancingPowerPriceDownEUR;BalancingPowerPriceDownDKK
30-12-2023;30-12-2023;DK1;0;46;0;0;-245;30;223,589996;43,23;322,193176;30;223,589996
30-12-2023;30-12-2023;DK2;0;15;0;0;109,900002;30;223,589996;43,23;322,193176;30;223,589996
30-12-2023;30-12-2023;DK2;0;0;0;0;142,600006;50,099998;373,390015;50,099998;373,390015;50,099998;373,390015
30-12-2023;30-12-2023;DK1;0;60;0;0;-219;53,68;400,070007;59,240002;441,507965;53,68;400,070007
30-12-2023;30-12-2023;DK1;0;30;0;0;-129;53,68;400,070007;57,639999;429,583374;53,68;400,070007
30-12-2023;30-12-2023;DK2;0;0;0;0;22,299999;53,68;400,070007;55,139999;410,951202;53,68;400,070007
30-12-2023;30-12-2023;DK2;0;0;0;0;-89,900002;62,009998;462,149994;62,009998;462,149994;62,009998;462,149994
30-12-2023;30-12-2023;DK1;0;0;0;0;5;62,009998;462,149994;62,009998;462,149994;62,009998;462,149994
30-12-2023;30-12-2023;DK1;2,5;0;0;0;98;72;536,609985;72;536,609985;71,089996;529,82782
30-12-2023;30-12-2023;DK2;0;0;0;0;-218,300003;72;536,609985;72;536,609985;71,089996;529,82782
30-12-2023;30-12-2023;DK2;0;0;0;0;-112,300003;83;618,590027;83;618,590027;79,989998;596,156799
30-12-2023;30-12-2023;DK1;21;0;0;0;-61;83;618,590027;83;618,590027;79,989998;596,156799
30-12-2023;30-12-2023;DK1;28;0;0;0;-134;85,5;637,219971;85,5;637,219971;80,139999;597,272583
30-12-2023;30-12-2023;DK2;0;0;0;0;49,299999;85,5;637,219971;85,5;637,219971;79,919998;595,632996
30-12-2023;30-12-2023;DK2;0;2,5;0;0;277,200012;85,5;637,219971;85,5;637,219971;58;432,266174
30-12-2023;30-12-2023;DK1;16,5;10,75;0;0;-72;85,5;637,219971;85,5;637,219971;58;432,266174
30-12-2023;30-12-2023;DK1;0;54;0;0;-81;52,5;391,279999;56,25;419,228577;52,5;391,279999
30-12-2023;30-12-2023;DK2;0;10;0;0;315,299988;52,5;391,279999;56,25;419,228577;52,5;391,279999
30-12-2023;30-12-2023;DK2;0;0;0;0;333,5;42,040001;313,320007;42,040001;313,320007;42,040001;313,320007
30-12-2023;30-12-2023;DK1;0;0;0;0;-237;42,040001;313,320007;42,040001;313,320007;42,040001;313,320007
30-12-2023;30-12-2023;DK1;0;0;0;0;-287;33,25;247,809998;33,25;247,809998;33,25;247,809998
30-12-2023;30-12-2023;DK2;0;0;0;0;375,299988;33,25;247,809998;33,25;247,809998;33,25;247,809998
