,hour,month,date,year,values
0,0.0,1.0,1.0,2018.0,5.6
1,1.0,1.0,1.0,2018.0,9.199999999999998
2,2.0,1.0,1.0,2018.0,9.199999999999998
3,3.0,1.0,1.0,2018.0,5.2
4,4.0,1.0,1.0,2018.0,-1.200000000000001
5,5.0,1.0,1.0,2018.0,6.600000000000001
6,6.0,1.0,1.0,2018.0,10.399999999999999
7,7.0,1.0,1.0,2018.0,8.700000000000001
8,8.0,1.0,1.0,2018.0,10.300000000000002
9,9.0,1.0,1.0,2018.0,11.399999999999999
10,10.0,1.0,1.0,2018.0,8.500000000000002
11,11.0,1.0,1.0,2018.0,15.399999999999999
12,12.0,1.0,1.0,2018.0,10.9
13,13.0,1.0,1.0,2018.0,11.7
14,14.0,1.0,1.0,2018.0,10.499999999999996
15,15.0,1.0,1.0,2018.0,14.0
16,16.0,1.0,1.0,2018.0,7.000000000000001
17,17.0,1.0,1.0,2018.0,7.999999999999998
18,18.0,1.0,1.0,2018.0,8.800000000000002
19,19.0,1.0,1.0,2018.0,8.700000000000001
20,20.0,1.0,1.0,2018.0,11.500000000000004
21,21.0,1.0,1.0,2018.0,14.599999999999998
22,22.0,1.0,1.0,2018.0,8.8
23,23.0,1.0,1.0,2018.0,10.399999999999999
24,0.0,1.0,2.0,2018.0,12.600000000000001
25,1.0,1.0,2.0,2018.0,4.000000000000001
26,2.0,1.0,2.0,2018.0,-2.1999999999999993
27,3.0,1.0,2.0,2018.0,7.1
28,4.0,1.0,2.0,2018.0,8.8
29,5.0,1.0,2.0,2018.0,-5.799999999999997
30,6.0,1.0,2.0,2018.0,8.700000000000003
31,7.0,1.0,2.0,2018.0,15.800000000000002
32,8.0,1.0,2.0,2018.0,15.600000000000005
33,9.0,1.0,2.0,2018.0,11.100000000000001
34,10.0,1.0,2.0,2018.0,9.499999999999996
35,11.0,1.0,2.0,2018.0,10.9
36,12.0,1.0,2.0,2018.0,10.399999999999999
37,13.0,1.0,2.0,2018.0,4.8
38,14.0,1.0,2.0,2018.0,7.500000000000002
39,15.0,1.0,2.0,2018.0,-1.9000000000000004
40,16.0,1.0,2.0,2018.0,1.0000000000000018
41,17.0,1.0,2.0,2018.0,6.1
42,18.0,1.0,2.0,2018.0,10.999999999999996
43,19.0,1.0,2.0,2018.0,13.800000000000002
44,20.0,1.0,2.0,2018.0,0.29999999999999893
45,21.0,1.0,2.0,2018.0,10.2
46,22.0,1.0,2.0,2018.0,17.4
47,23.0,1.0,2.0,2018.0,12.399999999999999
48,0.0,1.0,3.0,2018.0,6.300000000000001
49,1.0,1.0,3.0,2018.0,4.9
50,2.0,1.0,3.0,2018.0,10.5
51,3.0,1.0,3.0,2018.0,12.100000000000001
52,4.0,1.0,3.0,2018.0,19.499999999999993
53,5.0,1.0,3.0,2018.0,20.799999999999997
54,6.0,1.0,3.0,2018.0,20.000000000000007
55,7.0,1.0,3.0,2018.0,-6.799999999999997
56,8.0,1.0,3.0,2018.0,8.000000000000004
57,9.0,1.0,3.0,2018.0,-56.89999999999999
58,10.0,1.0,3.0,2018.0,-236.39999999999992
59,11.0,1.0,3.0,2018.0,-272.90000000000003
60,12.0,1.0,3.0,2018.0,-258.20000000000005
61,13.0,1.0,3.0,2018.0,-249.7
62,14.0,1.0,3.0,2018.0,-241.40000000000003
63,15.0,1.0,3.0,2018.0,-236.69999999999996
