,values,date,month,year,hour
0,5.6,1.0,1.0,2021.0,0.0
1,5.6,1.0,1.0,2021.0,1.0
2,5.6,1.0,1.0,2021.0,2.0
3,5.2,1.0,1.0,2021.0,3.0
4,6.0,1.0,1.0,2021.0,4.0
5,8.4,1.0,1.0,2021.0,5.0
6,6.8,1.0,1.0,2021.0,6.0
7,6.0,1.0,1.0,2021.0,7.0
8,6.4,1.0,1.0,2021.0,8.0
9,6.0,1.0,1.0,2021.0,9.0
10,5.2,1.0,1.0,2021.0,10.0
11,8.8,1.0,1.0,2021.0,11.0
12,6.4,1.0,1.0,2021.0,12.0
13,7.2,1.0,1.0,2021.0,13.0
14,9.6,1.0,1.0,2021.0,14.0
15,8.0,1.0,1.0,2021.0,15.0
16,6.4,1.0,1.0,2021.0,16.0
17,6.8,1.0,1.0,2021.0,17.0
18,6.4,1.0,1.0,2021.0,18.0
19,6.0,1.0,1.0,2021.0,19.0
20,6.4,1.0,1.0,2021.0,20.0
21,8.0,1.0,1.0,2021.0,21.0
22,5.2,1.0,1.0,2021.0,22.0
23,6.8,1.0,1.0,2021.0,23.0
24,7.2,2.0,1.0,2021.0,0.0
25,6.4,2.0,1.0,2021.0,1.0
26,5.6,2.0,1.0,2021.0,2.0
27,5.6,2.0,1.0,2021.0,3.0
28,5.2,2.0,1.0,2021.0,4.0
29,5.6,2.0,1.0,2021.0,5.0
30,9.6,2.0,1.0,2021.0,6.0
31,10.4,2.0,1.0,2021.0,7.0
32,10.8,2.0,1.0,2021.0,8.0
33,8.4,2.0,1.0,2021.0,9.0
34,6.8,2.0,1.0,2021.0,10.0
35,6.4,2.0,1.0,2021.0,11.0
36,5.6,2.0,1.0,2021.0,12.0
37,4.8,2.0,1.0,2021.0,13.0
38,7.2,2.0,1.0,2021.0,14.0
39,5.6,2.0,1.0,2021.0,15.0
40,5.2,2.0,1.0,2021.0,16.0
41,5.2,2.0,1.0,2021.0,17.0
42,6.8,2.0,1.0,2021.0,18.0
43,7.2,2.0,1.0,2021.0,19.0
44,6.0,2.0,1.0,2021.0,20.0
45,8.4,2.0,1.0,2021.0,21.0
46,9.6,2.0,1.0,2021.0,22.0
47,7.6,2.0,1.0,2021.0,23.0
48,7.2,3.0,1.0,2021.0,0.0
49,6.4,3.0,1.0,2021.0,1.0
50,6.0,3.0,1.0,2021.0,2.0
51,6.4,3.0,1.0,2021.0,3.0
52,9.6,3.0,1.0,2021.0,4.0
53,10.0,3.0,1.0,2021.0,5.0
54,10.4,3.0,1.0,2021.0,6.0
55,7.6,3.0,1.0,2021.0,7.0
56,10.4,3.0,1.0,2021.0,8.0
57,10.0,3.0,1.0,2021.0,9.0
58,7.2,3.0,1.0,2021.0,10.0
59,6.4,3.0,1.0,2021.0,11.0
60,6.4,3.0,1.0,2021.0,12.0
61,5.6,3.0,1.0,2021.0,13.0
62,6.4,3.0,1.0,2021.0,14.0
63,7.2,3.0,1.0,2021.0,15.0
64,6.4,3.0,1.0,2021.0,16.0
65,6.4,3.0,1.0,2021.0,17.0
66,6.8,3.0,1.0,2021.0,18.0
67,8.8,3.0,1.0,2021.0,19.0
68,10.4,3.0,1.0,2021.0,20.0
69,8.8,3.0,1.0,2021.0,21.0
70,6.8,3.0,1.0,2021.0,22.0
71,8.4,3.0,1.0,2021.0,23.0
72,6.8,4.0,1.0,2021.0,0.0
73,8.4,4.0,1.0,2021.0,1.0
74,8.4,4.0,1.0,2021.0,2.0
75,6.0,4.0,1.0,2021.0,3.0
76,6.4,4.0,1.0,2021.0,4.0
77,6.0,4.0,1.0,2021.0,5.0
78,6.4,4.0,1.0,2021.0,6.0
79,9.2,4.0,1.0,2021.0,7.0
80,14.4,4.0,1.0,2021.0,8.0
81,18.0,4.0,1.0,2021.0,9.0
82,16.0,4.0,1.0,2021.0,10.0
83,16.4,4.0,1.0,2021.0,11.0
84,16.0,4.0,1.0,2021.0,12.0
85,17.6,4.0,1.0,2021.0,13.0
86,18.0,4.0,1.0,2021.0,14.0
87,161.2,4.0,1.0,2021.0,15.0
88,308.4,4.0,1.0,2021.0,16.0
89,322.4,4.0,1.0,2021.0,17.0
90,319.6,4.0,1.0,2021.0,18.0
91,314.0,4.0,1.0,2021.0,19.0
92,322.4,4.0,1.0,2021.0,20.0
93,324.8,4.0,1.0,2021.0,21.0
94,318.4,4.0,1.0,2021.0,22.0
95,316.8,4.0,1.0,2021.0,23.0
96,314.0,5.0,1.0,2021.0,0.0
97,319.6,5.0,1.0,2021.0,1.0
98,316.8,5.0,1.0,2021.0,2.0
99,314.4,5.0,1.0,2021.0,3.0
100,315.6,5.0,1.0,2021.0,4.0
101,316.0,5.0,1.0,2021.0,5.0
102,317.6,5.0,1.0,2021.0,6.0
103,325.6,5.0,1.0,2021.0,7.0
104,321.2,5.0,1.0,2021.0,8.0
105,322.8,5.0,1.0,2021.0,9.0
106,322.0,5.0,1.0,2021.0,10.0
107,317.6,5.0,1.0,2021.0,11.0
108,316.8,5.0,1.0,2021.0,12.0
109,318.8,5.0,1.0,2021.0,13.0
110,321.6,5.0,1.0,2021.0,14.0
111,339.6,5.0,1.0,2021.0,15.0
112,290.8,5.0,1.0,2021.0,16.0
113,294.8,5.0,1.0,2021.0,17.0
114,298.4,5.0,1.0,2021.0,18.0
115,291.2,5.0,1.0,2021.0,19.0
116,247.2,5.0,1.0,2021.0,20.0
117,295.2,5.0,1.0,2021.0,21.0
118,293.2,5.0,1.0,2021.0,22.0
119,294.4,5.0,1.0,2021.0,23.0
120,289.6,6.0,1.0,2021.0,0.0
121,289.2,6.0,1.0,2021.0,1.0
122,291.2,6.0,1.0,2021.0,2.0
123,294.0,6.0,1.0,2021.0,3.0
124,294.8,6.0,1.0,2021.0,4.0
125,293.2,6.0,1.0,2021.0,5.0
126,292.0,6.0,1.0,2021.0,6.0
127,293.6,6.0,1.0,2021.0,7.0
128,297.6,6.0,1.0,2021.0,8.0
129,322.8,6.0,1.0,2021.0,9.0
130,317.2,6.0,1.0,2021.0,10.0
131,346.0,6.0,1.0,2021.0,11.0
132,324.8,6.0,1.0,2021.0,12.0
133,331.2,6.0,1.0,2021.0,13.0
134,317.2,6.0,1.0,2021.0,14.0
135,313.6,6.0,1.0,2021.0,15.0
136,314.0,6.0,1.0,2021.0,16.0
137,310.0,6.0,1.0,2021.0,17.0
138,302.4,6.0,1.0,2021.0,18.0
139,291.2,6.0,1.0,2021.0,19.0
140,300.4,6.0,1.0,2021.0,20.0
141,315.6,6.0,1.0,2021.0,21.0
142,310.8,6.0,1.0,2021.0,22.0
143,316.0,6.0,1.0,2021.0,23.0
144,316.0,7.0,1.0,2021.0,0.0
145,318.4,7.0,1.0,2021.0,1.0
146,304.8,7.0,1.0,2021.0,2.0
147,306.8,7.0,1.0,2021.0,3.0
148,309.2,7.0,1.0,2021.0,4.0
149,303.2,7.0,1.0,2021.0,5.0
150,298.0,7.0,1.0,2021.0,6.0
151,294.4,7.0,1.0,2021.0,7.0
152,290.8,7.0,1.0,2021.0,8.0
153,287.2,7.0,1.0,2021.0,9.0
154,298.8,7.0,1.0,2021.0,10.0
155,321.2,7.0,1.0,2021.0,11.0
156,306.8,7.0,1.0,2021.0,12.0
157,307.2,7.0,1.0,2021.0,13.0
158,306.0,7.0,1.0,2021.0,14.0
159,345.2,7.0,1.0,2021.0,15.0
160,320.4,7.0,1.0,2021.0,16.0
161,309.2,7.0,1.0,2021.0,17.0
162,336.0,7.0,1.0,2021.0,18.0
163,322.8,7.0,1.0,2021.0,19.0
164,316.0,7.0,1.0,2021.0,20.0
165,316.8,7.0,1.0,2021.0,21.0
166,314.8,7.0,1.0,2021.0,22.0
167,306.0,7.0,1.0,2021.0,23.0
168,302.0,8.0,1.0,2021.0,0.0
169,306.8,8.0,1.0,2021.0,1.0
170,303.6,8.0,1.0,2021.0,2.0
171,298.0,8.0,1.0,2021.0,3.0
172,300.8,8.0,1.0,2021.0,4.0
173,303.2,8.0,1.0,2021.0,5.0
174,323.6,8.0,1.0,2021.0,6.0
175,338.8,8.0,1.0,2021.0,7.0
176,316.8,8.0,1.0,2021.0,8.0
177,304.0,8.0,1.0,2021.0,9.0
178,300.4,8.0,1.0,2021.0,10.0
179,294.4,8.0,1.0,2021.0,11.0
180,328.0,8.0,1.0,2021.0,12.0
181,308.8,8.0,1.0,2021.0,13.0
182,310.8,8.0,1.0,2021.0,14.0
183,308.8,8.0,1.0,2021.0,15.0
184,305.2,8.0,1.0,2021.0,16.0
185,298.8,8.0,1.0,2021.0,17.0
186,299.2,8.0,1.0,2021.0,18.0
187,301.2,8.0,1.0,2021.0,19.0
188,303.6,8.0,1.0,2021.0,20.0
189,298.4,8.0,1.0,2021.0,21.0
190,312.4,8.0,1.0,2021.0,22.0
191,303.6,8.0,1.0,2021.0,23.0
192,299.2,9.0,1.0,2021.0,0.0
193,298.4,9.0,1.0,2021.0,1.0
194,298.0,9.0,1.0,2021.0,2.0
195,302.8,9.0,1.0,2021.0,3.0
196,304.8,9.0,1.0,2021.0,4.0
197,300.4,9.0,1.0,2021.0,5.0
198,300.8,9.0,1.0,2021.0,6.0
199,300.4,9.0,1.0,2021.0,7.0
200,295.2,9.0,1.0,2021.0,8.0
201,294.8,9.0,1.0,2021.0,9.0
202,305.6,9.0,1.0,2021.0,10.0
203,302.8,9.0,1.0,2021.0,11.0
204,322.0,9.0,1.0,2021.0,12.0
205,321.2,9.0,1.0,2021.0,13.0
206,313.6,9.0,1.0,2021.0,14.0
207,316.8,9.0,1.0,2021.0,15.0
208,319.6,9.0,1.0,2021.0,16.0
209,316.0,9.0,1.0,2021.0,17.0
210,312.8,9.0,1.0,2021.0,18.0
211,320.0,9.0,1.0,2021.0,19.0
212,325.2,9.0,1.0,2021.0,20.0
213,314.8,9.0,1.0,2021.0,21.0
214,311.6,9.0,1.0,2021.0,22.0
215,317.6,9.0,1.0,2021.0,23.0
216,318.4,10.0,1.0,2021.0,0.0
217,310.4,10.0,1.0,2021.0,1.0
218,309.6,10.0,1.0,2021.0,2.0
219,312.4,10.0,1.0,2021.0,3.0
