,index,values,date,month,year,hour
0,,5.6,1.0,1.0,2023,0.0
1,,3.2,1.0,1.0,2023,1.0
2,,3.2,1.0,1.0,2023,2.0
3,,5.2,1.0,1.0,2023,3.0
4,,10.8,1.0,1.0,2023,4.0
5,,9.6,1.0,1.0,2023,5.0
6,,4.4,1.0,1.0,2023,6.0
7,,4.2,1.0,1.0,2023,7.0
8,,3.8,1.0,1.0,2023,8.0
9,,2.4,1.0,1.0,2023,9.0
10,,3.0,1.0,1.0,2023,10.0
11,,4.4,1.0,1.0,2023,11.0
12,,3.4,1.0,1.0,2023,12.0
13,,4.2,1.0,1.0,2023,13.0
14,,9.0,1.0,1.0,2023,14.0
15,,4.0,1.0,1.0,2023,15.0
16,,6.0,1.0,1.0,2023,16.0
17,,6.0,1.0,1.0,2023,17.0
18,,4.8,1.0,1.0,2023,18.0
19,,4.2,1.0,1.0,2023,19.0
20,,3.0,1.0,1.0,2023,20.0
21,,3.6,1.0,1.0,2023,21.0
22,,2.8,1.0,1.0,2023,22.0
23,,4.4,1.0,1.0,2023,23.0
24,,3.6,2.0,1.0,2023,0.0
25,,8.0,2.0,1.0,2023,1.0
26,,10.8,2.0,1.0,2023,2.0
27,,4.6,2.0,1.0,2023,3.0
28,,2.8,2.0,1.0,2023,4.0
29,,13.2,2.0,1.0,2023,5.0
30,,10.2,2.0,1.0,2023,6.0
31,,6.8,2.0,1.0,2023,7.0
32,,7.6,2.0,1.0,2023,8.0
33,,6.6,2.0,1.0,2023,9.0
34,,5.0,2.0,1.0,2023,10.0
35,,3.4,2.0,1.0,2023,11.0
36,,2.4,2.0,1.0,2023,12.0
37,,4.8,2.0,1.0,2023,13.0
38,,7.0,2.0,1.0,2023,14.0
39,,10.6,2.0,1.0,2023,15.0
40,,8.0,2.0,1.0,2023,16.0
41,,4.6,2.0,1.0,2023,17.0
42,,4.0,2.0,1.0,2023,18.0
43,,2.8,2.0,1.0,2023,19.0
44,,9.8,2.0,1.0,2023,20.0
45,,7.2,2.0,1.0,2023,21.0
46,,4.4,2.0,1.0,2023,22.0
47,,4.4,2.0,1.0,2023,23.0
48,,7.8,3.0,1.0,2023,0.0
49,,7.4,3.0,1.0,2023,1.0
50,,3.0,3.0,1.0,2023,2.0
51,,2.6,3.0,1.0,2023,3.0
52,,3.0,3.0,1.0,2023,4.0
53,,2.8,3.0,1.0,2023,5.0
54,,4.0,3.0,1.0,2023,6.0
55,,17.2,3.0,1.0,2023,7.0
56,,12.0,3.0,1.0,2023,8.0
57,,54.6,3.0,1.0,2023,9.0
58,,169.6,3.0,1.0,2023,10.0
59,,192.6,3.0,1.0,2023,11.0
60,,182.8,3.0,1.0,2023,12.0
61,,175.8,3.0,1.0,2023,13.0
62,,171.6,3.0,1.0,2023,14.0
63,,169.8,3.0,1.0,2023,15.0
64,,132.8,3.0,1.0,2023,16.0
65,,3.4,3.0,1.0,2023,17.0
66,,3.4,3.0,1.0,2023,18.0
67,,6.2,3.0,1.0,2023,19.0
68,,11.4,3.0,1.0,2023,20.0
69,,11.4,3.0,1.0,2023,21.0
70,,5.8,3.0,1.0,2023,22.0
71,,4.2,3.0,1.0,2023,23.0
72,,2.6,4.0,1.0,2023,0.0
73,,2.8,4.0,1.0,2023,1.0
74,,3.6,4.0,1.0,2023,2.0
75,,2.6,4.0,1.0,2023,3.0
76,,33.8,4.0,1.0,2023,4.0
77,,162.4,4.0,1.0,2023,5.0
