,date,month,hour,covariance_value_with_DK1,covariance_value_with_DK2,strength_with_DK1,strength_with_DK2
0,1.0,1.0,0.0,,,NaN,NaN
1,1.0,1.0,1.0,0.18487359168740844,-0.8118042491027562,weak positive,very strong negative
2,1.0,1.0,2.0,0.16434666443835952,-0.7855327147692568,weak positive,very strong negative
3,1.0,1.0,3.0,,,NaN,NaN
4,1.0,1.0,4.0,-0.17200892475509016,0.8273307298816652,weak negative,very strong positive
5,1.0,1.0,5.0,-0.10907473600452713,0.7088964139763463,weak negative,very strong positive
6,1.0,1.0,6.0,0.03358903260655485,-0.653404878217152,weak positive,strong negative
7,1.0,1.0,7.0,0.06176225783470296,-0.555580908738507,weak positive,strong negative
8,1.0,1.0,8.0,-0.011305185980655025,-0.38617526511626704,weak negative,moderate negative
9,1.0,1.0,9.0,-0.004922154135096252,-0.5370616071486293,weak negative,strong negative
10,1.0,1.0,10.0,-0.05549656678678613,-0.6566513000523748,weak negative,strong negative
11,1.0,1.0,11.0,-0.0863191154358717,-0.5323081453566386,weak negative,strong negative
12,1.0,1.0,12.0,-0.007986581286252181,-0.40712386780551235,weak negative,moderate negative
13,1.0,1.0,13.0,-0.08341618109932408,-0.7232103144545976,weak negative,very strong negative
14,1.0,1.0,14.0,-0.08781851787216857,-0.6055678115064631,weak negative,strong negative
15,1.0,1.0,15.0,-0.17175207591059427,-0.794599888616694,weak negative,very strong negative
16,1.0,1.0,16.0,-0.1994039149696715,-0.7489647127002834,weak negative,very strong negative
17,1.0,1.0,17.0,-0.2721677340883025,-0.6501988739976672,weak negative,strong negative
18,1.0,1.0,18.0,-0.29125702931600644,-0.6569139931531727,weak negative,strong negative
19,1.0,1.0,19.0,-0.23044380009202667,-0.6865419503950169,weak negative,strong negative
20,1.0,1.0,20.0,-0.17200628144051144,-0.5178509940272785,weak negative,strong negative
21,1.0,1.0,21.0,-0.11287849252947227,-0.44853848198883983,weak negative,moderate negative
22,1.0,1.0,22.0,-0.0009682580051114942,-0.44597225365651544,weak negative,moderate negative
23,1.0,1.0,23.0,-0.01951216518404683,-0.23921443957619992,weak negative,weak negative
24,2.0,1.0,0.0,-0.04325395102519636,-0.33279409657006853,weak negative,moderate negative
25,2.0,1.0,1.0,0.00250005192097677,0.21503816174222148,weak positive,weak positive
26,2.0,1.0,2.0,0.03286254960333457,0.6244322971136682,weak positive,strong positive
27,2.0,1.0,3.0,-0.1039379333337963,-0.9213958091574002,weak negative,very strong negative
