,values,date,month,year,hour
0,5.6,1,1,2023,0
1,3.2,1,1,2023,1
2,3.2,1,1,2023,2
3,5.2,1,1,2023,3
4,10.8,1,1,2023,4
5,9.6,1,1,2023,5
6,4.4,1,1,2023,6
7,4.2,1,1,2023,7
8,3.8,1,1,2023,8
9,2.4,1,1,2023,9
10,3.0,1,1,2023,10
11,4.4,1,1,2023,11
12,3.4,1,1,2023,12
13,4.2,1,1,2023,13
14,9.0,1,1,2023,14
15,4.0,1,1,2023,15
16,6.0,1,1,2023,16
17,6.0,1,1,2023,17
18,4.8,1,1,2023,18
19,4.2,1,1,2023,19
20,3.0,1,1,2023,20
21,3.6,1,1,2023,21
22,2.8,1,1,2023,22
23,4.4,1,1,2023,23
24,3.6,2,1,2023,0
25,8.0,2,1,2023,1
26,10.8,2,1,2023,2
27,4.6,2,1,2023,3
28,2.8,2,1,2023,4
29,13.2,2,1,2023,5
30,10.2,2,1,2023,6
31,6.8,2,1,2023,7
32,7.6,2,1,2023,8
33,6.6,2,1,2023,9
34,5.0,2,1,2023,10
35,3.4,2,1,2023,11
36,2.4,2,1,2023,12
37,4.8,2,1,2023,13
38,7.0,2,1,2023,14
39,10.6,2,1,2023,15
40,8.0,2,1,2023,16
41,4.6,2,1,2023,17
42,4.0,2,1,2023,18
43,2.8,2,1,2023,19
44,9.8,2,1,2023,20
45,7.2,2,1,2023,21
46,4.4,2,1,2023,22
47,4.4,2,1,2023,23
48,7.8,3,1,2023,0
49,7.4,3,1,2023,1
50,3.0,3,1,2023,2
51,2.6,3,1,2023,3
52,3.0,3,1,2023,4
53,2.8,3,1,2023,5
54,4.0,3,1,2023,6
55,17.2,3,1,2023,7
56,12.0,3,1,2023,8
57,54.6,3,1,2023,9
58,169.6,3,1,2023,10
59,192.6,3,1,2023,11
60,182.8,3,1,2023,12
61,175.8,3,1,2023,13
62,171.6,3,1,2023,14
63,169.8,3,1,2023,15
64,132.8,3,1,2023,16
65,3.4,3,1,2023,17
66,3.4,3,1,2023,18
67,6.2,3,1,2023,19
68,11.4,3,1,2023,20
69,11.4,3,1,2023,21
70,5.8,3,1,2023,22
71,4.2,3,1,2023,23
72,2.6,4,1,2023,0
73,2.8,4,1,2023,1
74,3.6,4,1,2023,2
75,2.6,4,1,2023,3
76,33.8,4,1,2023,4
77,162.4,4,1,2023,5
78,178.4,4,1,2023,6
79,183.0,4,1,2023,7
80,183.4,4,1,2023,8
81,175.8,4,1,2023,9
82,173.8,4,1,2023,10
83,169.4,4,1,2023,11
84,146.2,4,1,2023,12
85,5.6,4,1,2023,13
86,4.0,4,1,2023,14
87,4.2,4,1,2023,15
88,4.6,4,1,2023,16
89,3.8,4,1,2023,17
90,5.0,4,1,2023,18
91,7.8,4,1,2023,19
92,11.6,4,1,2023,20
93,10.2,4,1,2023,21
94,4.8,4,1,2023,22
95,4.4,4,1,2023,23
96,3.6,5,1,2023,0
97,4.8,5,1,2023,1
98,4.0,5,1,2023,2
99,4.6,5,1,2023,3
100,6.6,5,1,2023,4
101,17.2,5,1,2023,5
102,152.8,5,1,2023,6
103,187.6,5,1,2023,7
104,169.6,5,1,2023,8
105,172.8,5,1,2023,9
106,177.6,5,1,2023,10
