,date,month,hour,values_2023,values_2022,values_2021,values_2020,values_2019,values_2018
0,1.0,1.0,0.0,5.6,5.6,5.6,5.6,5.6,5.6
1,1.0,1.0,1.0,3.2,4.4,5.6,6.8,8.0,9.2
2,1.0,1.0,2.0,3.2,4.4,5.6,6.8,8.0,9.2
3,1.0,1.0,3.0,5.2,5.2,5.2,5.2,5.2,5.2
4,1.0,1.0,4.0,10.8,8.4,6.0,3.6,1.2,-1.2
5,1.0,1.0,5.0,9.6,9.0,8.4,7.8,7.2,6.6
6,1.0,1.0,6.0,4.4,5.6,6.8,8.0,9.2,10.4
7,1.0,1.0,7.0,4.2,5.1,6.0,6.9,7.8,8.7
8,1.0,1.0,8.0,3.8,5.1,6.4,7.7,9.0,10.3
9,1.0,1.0,9.0,2.4,4.2,6.0,7.8,9.6,11.4
10,1.0,1.0,10.0,3.0,4.1,5.2,6.3,7.4,8.5
11,1.0,1.0,11.0,4.4,6.6,8.8,11.0,13.2,15.4
12,1.0,1.0,12.0,3.4,4.9,6.4,7.9,9.4,10.9
13,1.0,1.0,13.0,4.2,5.7,7.2,8.7,10.2,11.7
14,1.0,1.0,14.0,9.0,9.3,9.6,9.9,10.2,10.5
15,1.0,1.0,15.0,4.0,6.0,8.0,10.0,12.0,14.0
16,1.0,1.0,16.0,6.0,6.2,6.4,6.6,6.8,7.0
17,1.0,1.0,17.0,6.0,6.4,6.8,7.2,7.6,8.0
18,1.0,1.0,18.0,4.8,5.6,6.4,7.2,8.0,8.8
19,1.0,1.0,19.0,4.2,5.1,6.0,6.9,7.8,8.7
20,1.0,1.0,20.0,3.0,4.7,6.4,8.1,9.8,11.5
21,1.0,1.0,21.0,3.6,5.8,8.0,10.2,12.4,14.6
22,1.0,1.0,22.0,2.8,4.0,5.2,6.4,7.6,8.8
23,1.0,1.0,23.0,4.4,5.6,6.8,8.0,9.2,10.4
24,2.0,1.0,0.0,3.6,5.4,7.2,9.0,10.8,12.6
25,2.0,1.0,1.0,8.0,7.2,6.4,5.6,4.8,4.0
26,2.0,1.0,2.0,10.8,8.2,5.6,3.0,0.4,-2.2
27,2.0,1.0,3.0,4.6,5.1,5.6,6.1,6.6,7.1
28,2.0,1.0,4.0,2.8,4.0,5.2,6.4,7.6,8.8
29,2.0,1.0,5.0,13.2,9.4,5.6,1.8,-2.0,-5.8
30,2.0,1.0,6.0,10.2,9.9,9.6,9.3,9.0,8.7
31,2.0,1.0,7.0,6.8,8.6,10.4,12.2,14.0,15.8
32,2.0,1.0,8.0,7.6,9.2,10.8,12.4,14.0,15.6
33,2.0,1.0,9.0,6.6,7.5,8.4,9.3,10.2,11.1
34,2.0,1.0,10.0,5.0,5.9,6.8,7.7,8.6,9.5
35,2.0,1.0,11.0,3.4,4.9,6.4,7.9,9.4,10.9
36,2.0,1.0,12.0,2.4,4.0,5.6,7.2,8.8,10.4
37,2.0,1.0,13.0,4.8,4.8,4.8,4.8,4.8,4.8
38,2.0,1.0,14.0,7.0,7.1,7.2,7.3,7.4,7.5
39,2.0,1.0,15.0,10.6,8.1,5.6,3.1,0.6,-1.9
40,2.0,1.0,16.0,8.0,6.6,5.2,3.8,2.4,1.0
41,2.0,1.0,17.0,4.6,4.9,5.2,5.5,5.8,6.1
42,2.0,1.0,18.0,4.0,5.4,6.8,8.2,9.6,11.0
43,2.0,1.0,19.0,2.8,5.0,7.2,9.4,11.6,13.8
44,2.0,1.0,20.0,9.8,7.9,6.0,4.1,2.2,0.3
45,2.0,1.0,21.0,7.2,7.8,8.4,9.0,9.6,10.2
46,2.0,1.0,22.0,4.4,7.0,9.6,12.2,14.8,17.4
47,2.0,1.0,23.0,4.4,6.0,7.6,9.2,10.8,12.4
48,3.0,1.0,0.0,7.8,7.5,7.2,6.9,6.6,6.3
49,3.0,1.0,1.0,7.4,6.9,6.4,5.9,5.4,4.9
50,3.0,1.0,2.0,3.0,4.5,6.0,7.5,9.0,10.5
51,3.0,1.0,3.0,2.6,4.5,6.4,8.3,10.2,12.1
52,3.0,1.0,4.0,3.0,6.3,9.6,12.9,16.2,19.5
53,3.0,1.0,5.0,2.8,6.4,10.0,13.6,17.2,20.8
54,3.0,1.0,6.0,4.0,7.2,10.4,13.6,16.8,20.0
55,3.0,1.0,7.0,17.2,12.4,7.6,2.8,-2.0,-6.8
56,3.0,1.0,8.0,12.0,11.2,10.4,9.6,8.8,8.0
57,3.0,1.0,9.0,54.6,32.3,10.0,-12.3,-34.6,-56.9
58,3.0,1.0,10.0,169.6,88.4,7.2,-74.0,-155.2,-236.4
59,3.0,1.0,11.0,192.6,99.5,6.4,-86.7,-179.8,-272.9
60,3.0,1.0,12.0,182.8,94.6,6.4,-81.8,-170.0,-258.2
61,3.0,1.0,13.0,175.8,90.7,5.6,-79.5,-164.6,-249.7
62,3.0,1.0,14.0,171.6,89.0,6.4,-76.2,-158.8,-241.4
63,3.0,1.0,15.0,169.8,88.5,7.2,-74.1,-155.4,-236.7
64,3.0,1.0,16.0,132.8,69.6,6.4,-56.8,-120.0,-183.2
65,3.0,1.0,17.0,3.4,4.9,6.4,7.9,9.4,10.9
66,3.0,1.0,18.0,3.4,5.1,6.8,8.5,10.2,11.9
67,3.0,1.0,19.0,6.2,7.5,8.8,10.1,11.4,12.7
68,3.0,1.0,20.0,11.4,10.9,10.4,9.9,9.4,8.9
69,3.0,1.0,21.0,11.4,10.1,8.8,7.5,6.2,4.9
70,3.0,1.0,22.0,5.8,6.3,6.8,7.3,7.8,8.3
71,3.0,1.0,23.0,4.2,6.3,8.4,10.5,12.6,14.7
72,4.0,1.0,0.0,2.6,4.7,6.8,8.9,11.0,13.1
