,index,hour,date,month,covariance,value
0,13,7.0,3.0,1.0,0.5057871267499819,84.82600000000001
1,16,10.0,3.0,1.0,0.6368913500083716,88.056
2,19,13.0,3.0,1.0,0.5464165451158545,84.272
3,21,15.0,3.0,1.0,0.502988411903562,66.416
4,22,16.0,3.0,1.0,0.5123477432444392,69.384
5,23,17.0,3.0,1.0,0.5107078785500769,64.61
6,86,16.0,8.0,1.0,0.7201693285563184,69.628
7,87,6.0,9.0,1.0,0.5269515075228257,85.162
8,88,7.0,9.0,1.0,0.5259840948987347,92.24600000000001
9,97,16.0,9.0,1.0,0.5223430255420028,72.81
10,98,17.0,9.0,1.0,0.5185644729431199,66.336
11,99,7.0,10.0,1.0,0.5197132533442625,97.44600000000001
12,101,10.0,10.0,1.0,0.6071459903258685,88.846
13,104,16.0,10.0,1.0,0.5083756081503121,71.504
14,105,17.0,10.0,1.0,0.5088152194858718,66.16000000000001
15,159,16.0,22.0,1.0,0.5886519271660642,62.232000000000006
16,160,17.0,22.0,1.0,0.5763416048832964,63.25800000000001
17,169,13.0,23.0,1.0,0.5293941850656304,89.97200000000001
18,170,14.0,23.0,1.0,0.5314207440181096,96.69600000000001
19,183,10.0,24.0,1.0,0.5083822261486513,86.0
20,264,13.0,29.0,1.0,0.5649592995164199,77.82600000000001
21,265,14.0,29.0,1.0,0.5368978067216801,77.556
22,271,6.0,30.0,1.0,0.5556175268854576,92.29400000000001
23,272,7.0,30.0,1.0,0.5195545112213322,91.61000000000001
24,275,10.0,30.0,1.0,0.5821801311177913,77.67200000000001
25,276,11.0,30.0,1.0,0.5409607619973655,73.06
26,281,16.0,30.0,1.0,0.5150494899294182,60.516
27,335,17.0,21.0,2.0,0.5959603294806064,60.382000000000005
28,417,8.0,24.0,5.0,0.5047824537115054,65.962
29,418,9.0,24.0,5.0,0.507980381021558,69.622
30,420,11.0,24.0,5.0,0.5459606236250578,89.96600000000001
31,561,16.0,12.0,11.0,0.5569415995000176,59.52000000000001
32,562,17.0,12.0,11.0,0.5405791942730933,60.316
33,720,10.0,3.0,12.0,0.5037248676117285,57.79400000000001
34,721,11.0,3.0,12.0,0.5017702984372285,98.82600000000001
