,index,hour,date,month,covariance,value
0,13,7.0,3.0,1.0,0.5057871267499819,2.023
1,16,10.0,3.0,1.0,0.6368913500083716,0.55
2,19,13.0,3.0,1.0,0.5464165451158545,0.643
3,21,15.0,3.0,1.0,0.502988411903562,0.58
4,22,16.0,3.0,1.0,0.5123477432444392,1.8920000000000003
5,23,17.0,3.0,1.0,0.5107078785500769,3.2520000000000007
6,86,16.0,8.0,1.0,0.7201693285563184,2.721
7,87,6.0,9.0,1.0,0.5269515075228257,1.957
8,88,7.0,9.0,1.0,0.5259840948987347,2.387
9,97,16.0,9.0,1.0,0.5223430255420028,1.1980000000000002
10,98,17.0,9.0,1.0,0.5185644729431199,2.519
11,99,7.0,10.0,1.0,0.5197132533442625,2.023
12,101,10.0,10.0,1.0,0.6071459903258685,0.55
13,104,16.0,10.0,1.0,0.5083756081503121,1.8920000000000003
14,105,17.0,10.0,1.0,0.5088152194858718,3.2520000000000007
15,159,16.0,22.0,1.0,0.5886519271660642,2.721
16,160,17.0,22.0,1.0,0.5763416048832964,3.168
17,169,13.0,23.0,1.0,0.5293941850656304,0.515
18,170,14.0,23.0,1.0,0.5314207440181096,0.992
19,183,10.0,24.0,1.0,0.5083822261486513,0.55
20,264,13.0,29.0,1.0,0.5649592995164199,0.602
21,265,14.0,29.0,1.0,0.5368978067216801,0.901
22,271,6.0,30.0,1.0,0.5556175268854576,1.957
23,272,7.0,30.0,1.0,0.5195545112213322,2.387
24,275,10.0,30.0,1.0,0.5821801311177913,0.605
25,276,11.0,30.0,1.0,0.5409607619973655,0.789
26,281,16.0,30.0,1.0,0.5150494899294182,1.1980000000000002
27,335,17.0,21.0,2.0,0.5959603294806064,3.2520000000000007
28,417,8.0,24.0,5.0,0.5047824537115054,0.284
29,418,9.0,24.0,5.0,0.507980381021558,0.30200000000000005
30,420,11.0,24.0,5.0,0.5459606236250578,0.37000000000000005
31,561,16.0,12.0,11.0,0.5569415995000176,4.752000000000001
32,562,17.0,12.0,11.0,0.5405791942730933,3.49
33,720,10.0,3.0,12.0,0.5037248676117285,2.363
34,721,11.0,3.0,12.0,0.5017702984372285,3.608
