Date;Value;Measurement
31-12-2020 01:00;2.984;KWH
31-12-2020 02:00;2.86;KWH
31-12-2020 03:00;4;KWH
31-12-2020 04:00;1.89;KWH
31-12-2020 05:00;3.552;KWH
31-12-2020 06:00;3.238;KWH
31-12-2020 07:00;2.906;KWH
31-12-2020 08:00;10.138;KWH
31-12-2020 09:00;10.94;KWH
31-12-2020 10:00;1.598;KWH
31-12-2020 11:00;2.492;KWH
31-12-2020 12:00;2.098;KWH
31-12-2020 13:00;2.668;KWH
31-12-2020 14:00;1.57;KWH
31-12-2020 15:00;2.174;KWH
31-12-2020 16:00;1.336;KWH
31-12-2020 17:00;8.52;KWH
31-12-2020 18:00;11.122;KWH
31-12-2020 19:00;4.274;KWH
31-12-2020 20:00;3.638;KWH
31-12-2020 21:00;2.26;KWH
31-12-2020 22:00;3.636;KWH
31-12-2020 23:00;2.856;KWH
01-01-2021 00:00;3.684;KWH
01-01-2021 01:00;2.578;KWH
01-01-2021 02:00;3.748;KWH
01-01-2021 03:00;1.954;KWH
01-01-2021 04:00;3.262;KWH
01-01-2021 05:00;1.94;KWH
01-01-2021 06:00;3.996;KWH
01-01-2021 07:00;1.934;KWH
01-01-2021 08:00;10.552;KWH
01-01-2021 09:00;10.402;KWH
01-01-2021 10:00;1.214;KWH
01-01-2021 11:00;3.238;KWH
01-01-2021 12:00;1.216;KWH
01-01-2021 13:00;3.048;KWH
01-01-2021 14:00;1.166;KWH
01-01-2021 15:00;2.672;KWH
01-01-2021 16:00;2.326;KWH
01-01-2021 17:00;10.758;KWH
01-01-2021 18:00;9.7;KWH
01-01-2021 19:00;5.43;KWH
01-01-2021 20:00;2.266;KWH
01-01-2021 21:00;3.76;KWH
01-01-2021 22:00;2.51;KWH
01-01-2021 23:00;3.764;KWH
02-01-2021 00:00;2.328;KWH
02-01-2021 01:00;3.556;KWH
02-01-2021 02:00;3.372;KWH
02-01-2021 03:00;2.244;KWH
02-01-2021 04:00;3.44;KWH
02-01-2021 05:00;2.98;KWH
02-01-2021 06:00;3.124;KWH
02-01-2021 07:00;2.762;KWH
02-01-2021 08:00;11.354;KWH
02-01-2021 09:00;10.504;KWH
02-01-2021 10:00;4.526;KWH
02-01-2021 11:00;5.676;KWH
02-01-2021 12:00;6.452;KWH
02-01-2021 13:00;6.866;KWH
02-01-2021 14:00;7.268;KWH
02-01-2021 15:00;5.646;KWH
02-01-2021 16:00;5.64;KWH
02-01-2021 17:00;11.302;KWH
02-01-2021 18:00;14.86;KWH
02-01-2021 19:00;9.62;KWH
02-01-2021 20:00;2.452;KWH
02-01-2021 21:00;4.154;KWH
02-01-2021 22:00;3.02;KWH
02-01-2021 23:00;3.57;KWH
03-01-2021 00:00;4.146;KWH
03-01-2021 01:00;4.224;KWH
03-01-2021 02:00;3.614;KWH
03-01-2021 03:00;3.88;KWH
03-01-2021 04:00;2.994;KWH
03-01-2021 05:00;4.166;KWH
03-01-2021 06:00;2.36;KWH
03-01-2021 07:00;3.808;KWH
03-01-2021 08:00;10.558;KWH
03-01-2021 09:00;12.126;KWH
03-01-2021 10:00;3.734;KWH
03-01-2021 11:00;5.802;KWH
03-01-2021 12:00;5.988;KWH
03-01-2021 13:00;4.474;KWH
03-01-2021 14:00;7.214;KWH
03-01-2021 15:00;5.138;KWH
03-01-2021 16:00;5.442;KWH
03-01-2021 17:00;14.856;KWH
03-01-2021 18:00;11.474;KWH
03-01-2021 19:00;6.378;KWH
03-01-2021 20:00;4.856;KWH
03-01-2021 21:00;1.93;KWH
03-01-2021 22:00;3.972;KWH
03-01-2021 23:00;1.954;KWH
04-01-2021 00:00;3.786;KWH
04-01-2021 01:00;3.422;KWH
04-01-2021 02:00;2.08;KWH
04-01-2021 03:00;3.872;KWH
04-01-2021 04:00;2.712;KWH
04-01-2021 05:00;3.076;KWH
04-01-2021 06:00;3.62;KWH
04-01-2021 07:00;4.032;KWH
04-01-2021 08:00;10.57;KWH
04-01-2021 09:00;12.792;KWH
04-01-2021 10:00;3.872;KWH
04-01-2021 11:00;3.796;KWH
04-01-2021 12:00;5.01;KWH
04-01-2021 13:00;4.12;KWH
04-01-2021 14:00;3.684;KWH
04-01-2021 15:00;5.25;KWH
04-01-2021 16:00;4.478;KWH
04-01-2021 17:00;14.01;KWH
04-01-2021 18:00;13.804;KWH
04-01-2021 19:00;5.86;KWH
04-01-2021 20:00;3.432;KWH
04-01-2021 21:00;4.258;KWH
04-01-2021 22:00;2.846;KWH
04-01-2021 23:00;3.938;KWH
05-01-2021 00:00;3.36;KWH
05-01-2021 01:00;3.002;KWH
05-01-2021 02:00;3.91;KWH
05-01-2021 03:00;2.334;KWH
05-01-2021 04:00;4.262;KWH
05-01-2021 05:00;1.94;KWH
05-01-2021 06:00;4.222;KWH
05-01-2021 07:00;2.332;KWH
05-01-2021 08:00;10.706;KWH
05-01-2021 09:00;12.028;KWH
05-01-2021 10:00;4.648;KWH
05-01-2021 11:00;3.904;KWH
05-01-2021 12:00;4.052;KWH
05-01-2021 13:00;5.56;KWH
05-01-2021 14:00;7.156;KWH
05-01-2021 15:00;6.614;KWH
05-01-2021 16:00;4.178;KWH
05-01-2021 17:00;9.992;KWH
05-01-2021 18:00;12.96;KWH
05-01-2021 19:00;6.66;KWH
05-01-2021 20:00;4.356;KWH
