Date;Value;Measurement
31-12-2020 01:00;485.48;KWH
31-12-2020 02:00;509.96;KWH
31-12-2020 03:00;490.22;KWH
31-12-2020 04:00;491.96;KWH
31-12-2020 05:00;492.82;KWH
31-12-2020 06:00;494.34;KWH
31-12-2020 07:00;511.32;KWH
31-12-2020 08:00;524.76;KWH
31-12-2020 09:00;509.24;KWH
31-12-2020 10:00;498.1;KWH
31-12-2020 11:00;496.94;KWH
31-12-2020 12:00;518.32;KWH
31-12-2020 13:00;503.38;KWH
31-12-2020 14:00;498.02;KWH
31-12-2020 15:00;493.86;KWH
31-12-2020 16:00;516.7;KWH
31-12-2020 17:00;510.52;KWH
31-12-2020 18:00;517.8;KWH
31-12-2020 19:00;514.12;KWH
31-12-2020 20:00;516.9;KWH
31-12-2020 21:00;512.42;KWH
31-12-2020 22:00;516.76;KWH
31-12-2020 23:00;513.5;KWH
01-01-2021 00:00;510.04;KWH
01-01-2021 01:00;510.42;KWH
01-01-2021 02:00;510.38;KWH
01-01-2021 03:00;526.12;KWH
01-01-2021 04:00;512.42;KWH
01-01-2021 05:00;514.06;KWH
01-01-2021 06:00;516.46;KWH
01-01-2021 07:00;522.48;KWH
01-01-2021 08:00;527.36;KWH
01-01-2021 09:00;523.52;KWH
01-01-2021 10:00;516.46;KWH
01-01-2021 11:00;513.36;KWH
01-01-2021 12:00;512.18;KWH
01-01-2021 13:00;503.98;KWH
01-01-2021 14:00;508.52;KWH
01-01-2021 15:00;498.42;KWH
01-01-2021 16:00;509.38;KWH
01-01-2021 17:00;518.16;KWH
01-01-2021 18:00;505.62;KWH
01-01-2021 19:00;507.14;KWH
01-01-2021 20:00;531;KWH
01-01-2021 21:00;519.82;KWH
01-01-2021 22:00;524.96;KWH
01-01-2021 23:00;525.76;KWH
02-01-2021 00:00;529.58;KWH
02-01-2021 01:00;532.84;KWH
02-01-2021 02:00;526.32;KWH
02-01-2021 03:00;521.24;KWH
02-01-2021 04:00;529.22;KWH
02-01-2021 05:00;528.26;KWH
02-01-2021 06:00;532.96;KWH
02-01-2021 07:00;530.92;KWH
02-01-2021 08:00;534.58;KWH
02-01-2021 09:00;527.04;KWH
02-01-2021 10:00;522.28;KWH
02-01-2021 11:00;520.72;KWH
02-01-2021 12:00;514.68;KWH
02-01-2021 13:00;508.74;KWH
02-01-2021 14:00;508.5;KWH
02-01-2021 15:00;527.38;KWH
02-01-2021 16:00;523.46;KWH
02-01-2021 17:00;526.86;KWH
02-01-2021 18:00;529.56;KWH
02-01-2021 19:00;528.94;KWH
02-01-2021 20:00;522.6;KWH
02-01-2021 21:00;526.46;KWH
02-01-2021 22:00;527.12;KWH
02-01-2021 23:00;529.18;KWH
03-01-2021 00:00;532.92;KWH
03-01-2021 01:00;539.12;KWH
03-01-2021 02:00;538.04;KWH
03-01-2021 03:00;534.4;KWH
03-01-2021 04:00;529.28;KWH
03-01-2021 05:00;543.08;KWH
03-01-2021 06:00;544.84;KWH
03-01-2021 07:00;536.08;KWH
03-01-2021 08:00;536.86;KWH
03-01-2021 09:00;533.08;KWH
03-01-2021 10:00;534.16;KWH
03-01-2021 11:00;525.08;KWH
03-01-2021 12:00;532.46;KWH
03-01-2021 13:00;535.38;KWH
03-01-2021 14:00;537.88;KWH
03-01-2021 15:00;519.6;KWH
03-01-2021 16:00;541.04;KWH
03-01-2021 17:00;547.04;KWH
03-01-2021 18:00;551.5;KWH
03-01-2021 19:00;556.72;KWH
03-01-2021 20:00;542.12;KWH
03-01-2021 21:00;554.88;KWH
03-01-2021 22:00;559.66;KWH
03-01-2021 23:00;554.1;KWH
04-01-2021 00:00;557.76;KWH
04-01-2021 01:00;551.42;KWH
04-01-2021 02:00;554.14;KWH
04-01-2021 03:00;561.06;KWH
04-01-2021 04:00;560.12;KWH
04-01-2021 05:00;553.74;KWH
04-01-2021 06:00;556.26;KWH
04-01-2021 07:00;560.36;KWH
04-01-2021 08:00;563.96;KWH
04-01-2021 09:00;542.58;KWH
04-01-2021 10:00;541.92;KWH
04-01-2021 11:00;536.96;KWH
04-01-2021 12:00;540.62;KWH
04-01-2021 13:00;539.42;KWH
04-01-2021 14:00;542.04;KWH
04-01-2021 15:00;536.88;KWH
04-01-2021 16:00;542.76;KWH
04-01-2021 17:00;540.72;KWH
04-01-2021 18:00;541.58;KWH
04-01-2021 19:00;546.88;KWH
04-01-2021 20:00;543.8;KWH
