Til_dato;Value;measuement
21-12-2021 01:00;23.054;KWH
21-12-2021 02:00;22.61;KWH
21-12-2021 03:00;23.054;KWH
21-12-2021 04:00;23.274;KWH
21-12-2021 05:00;22.72;KWH
21-12-2021 06:00;23.386;KWH
21-12-2021 07:00;23.386;KWH
21-12-2021 08:00;24.826;KWH
21-12-2021 09:00;26.82;KWH
21-12-2021 10:00;27.818;KWH
21-12-2021 11:00;26.6;KWH
21-12-2021 12:00;26.71;KWH
21-12-2021 13:00;25.712;KWH
21-12-2021 14:00;25.048;KWH
21-12-2021 15:00;26.044;KWH
21-12-2021 16:00;24.826;KWH
21-12-2021 17:00;25.49;KWH
21-12-2021 18:00;22.166;KWH
21-12-2021 19:00;22.83;KWH
21-12-2021 20:00;23.606;KWH
21-12-2021 21:00;22.388;KWH
21-12-2021 22:00;22.61;KWH
21-12-2021 23:00;22.832;KWH
22-12-2021 00:00;22.5;KWH
22-12-2021 01:00;22.168;KWH
22-12-2021 02:00;22.388;KWH
22-12-2021 03:00;23.386;KWH
22-12-2021 04:00;23.164;KWH
22-12-2021 05:00;23.608;KWH
22-12-2021 06:00;22.942;KWH
22-12-2021 07:00;23.054;KWH
22-12-2021 08:00;24.38;KWH
22-12-2021 09:00;25.158;KWH
22-12-2021 10:00;27.594;KWH
22-12-2021 11:00;24.602;KWH
22-12-2021 12:00;24.162;KWH
22-12-2021 13:00;22.942;KWH
22-12-2021 14:00;23.828;KWH
22-12-2021 15:00;24.27;KWH
22-12-2021 16:00;24.494;KWH
22-12-2021 17:00;23.386;KWH
22-12-2021 18:00;23.054;KWH
22-12-2021 19:00;22.944;KWH
22-12-2021 20:00;22.388;KWH
22-12-2021 21:00;22.61;KWH
22-12-2021 22:00;23.606;KWH
22-12-2021 23:00;22.608;KWH
23-12-2021 00:00;22.944;KWH
23-12-2021 01:00;23.054;KWH
23-12-2021 02:00;24.048;KWH
23-12-2021 03:00;22.276;KWH
23-12-2021 04:00;22.388;KWH
23-12-2021 05:00;22.278;KWH
23-12-2021 06:00;22.722;KWH
23-12-2021 07:00;22.386;KWH
23-12-2021 08:00;23.164;KWH
23-12-2021 09:00;23.386;KWH
23-12-2021 10:00;25.158;KWH
23-12-2021 11:00;24.048;KWH
23-12-2021 12:00;24.826;KWH
23-12-2021 13:00;23.054;KWH
23-12-2021 14:00;22.832;KWH
23-12-2021 15:00;22.5;KWH
23-12-2021 16:00;24.492;KWH
23-12-2021 17:00;21.724;KWH
23-12-2021 18:00;21.502;KWH
23-12-2021 19:00;21.17;KWH
23-12-2021 20:00;21.28;KWH
23-12-2021 21:00;21.06;KWH
23-12-2021 22:00;22.386;KWH
23-12-2021 23:00;20.726;KWH
24-12-2021 00:00;20.616;KWH
24-12-2021 01:00;20.504;KWH
24-12-2021 02:00;21.168;KWH
24-12-2021 03:00;20.284;KWH
24-12-2021 04:00;21.06;KWH
24-12-2021 05:00;20.616;KWH
24-12-2021 06:00;21.17;KWH
24-12-2021 07:00;21.502;KWH
24-12-2021 08:00;22.944;KWH
24-12-2021 09:00;23.054;KWH
24-12-2021 10:00;23.054;KWH
24-12-2021 11:00;24.16;KWH
24-12-2021 12:00;22.832;KWH
24-12-2021 13:00;22.498;KWH
24-12-2021 14:00;22.388;KWH
24-12-2021 15:00;21.17;KWH
24-12-2021 16:00;21.17;KWH
24-12-2021 17:00;20.504;KWH
24-12-2021 18:00;20.392;KWH
24-12-2021 19:00;21.39;KWH
24-12-2021 20:00;20.728;KWH
24-12-2021 21:00;20.728;KWH
24-12-2021 22:00;21.5;KWH
24-12-2021 23:00;21.612;KWH
25-12-2021 00:00;21.28;KWH
25-12-2021 01:00;21.17;KWH
25-12-2021 02:00;21.39;KWH
25-12-2021 03:00;21.944;KWH
25-12-2021 04:00;21.834;KWH
25-12-2021 05:00;21.17;KWH
25-12-2021 06:00;21.944;KWH
25-12-2021 07:00;21.722;KWH
25-12-2021 08:00;21.28;KWH
25-12-2021 09:00;21.06;KWH
