values,date,month,year,hour
3684.0,1.0,1.0,2021,0.0
2578.0,1.0,1.0,2021,1.0
3748.0,1.0,1.0,2021,2.0
1954.0,1.0,1.0,2021,3.0
3262.0,1.0,1.0,2021,4.0
1940.0,1.0,1.0,2021,5.0
3996.0,1.0,1.0,2021,6.0
1934.0,1.0,1.0,2021,7.0
10552.0,1.0,1.0,2021,8.0
10402.0,1.0,1.0,2021,9.0
1214.0,1.0,1.0,2021,10.0
3238.0,1.0,1.0,2021,11.0
1216.0,1.0,1.0,2021,12.0
3048.0,1.0,1.0,2021,13.0
1166.0,1.0,1.0,2021,14.0
2672.0,1.0,1.0,2021,15.0
2326.0,1.0,1.0,2021,16.0
10758.0,1.0,1.0,2021,17.0
9700.0,1.0,1.0,2021,18.0
5430.0,1.0,1.0,2021,19.0
2266.0,1.0,1.0,2021,20.0
3760.0,1.0,1.0,2021,21.0
2510.0,1.0,1.0,2021,22.0
3764.0,1.0,1.0,2021,23.0
2328.0,2.0,1.0,2021,0.0
3556.0,2.0,1.0,2021,1.0
3372.0,2.0,1.0,2021,2.0
2244.0,2.0,1.0,2021,3.0
3440.0,2.0,1.0,2021,4.0
2980.0,2.0,1.0,2021,5.0
3124.0,2.0,1.0,2021,6.0
2762.0,2.0,1.0,2021,7.0
11354.0,2.0,1.0,2021,8.0
10504.0,2.0,1.0,2021,9.0
4526.0,2.0,1.0,2021,10.0
5676.0,2.0,1.0,2021,11.0
6452.0,2.0,1.0,2021,12.0
6866.0,2.0,1.0,2021,13.0
7268.0,2.0,1.0,2021,14.0
5646.0,2.0,1.0,2021,15.0
5640.0,2.0,1.0,2021,16.0
11302.0,2.0,1.0,2021,17.0
14860.0,2.0,1.0,2021,18.0
9620.0,2.0,1.0,2021,19.0
2452.0,2.0,1.0,2021,20.0
4154.0,2.0,1.0,2021,21.0
3020.0,2.0,1.0,2021,22.0
3570.0,2.0,1.0,2021,23.0
4146.0,3.0,1.0,2021,0.0
4224.0,3.0,1.0,2021,1.0
3614.0,3.0,1.0,2021,2.0
3880.0,3.0,1.0,2021,3.0
2994.0,3.0,1.0,2021,4.0
4166.0,3.0,1.0,2021,5.0
2360.0,3.0,1.0,2021,6.0
3808.0,3.0,1.0,2021,7.0
10558.0,3.0,1.0,2021,8.0
12126.0,3.0,1.0,2021,9.0
3734.0,3.0,1.0,2021,10.0
5802.0,3.0,1.0,2021,11.0
5988.0,3.0,1.0,2021,12.0
4474.0,3.0,1.0,2021,13.0
7214.0,3.0,1.0,2021,14.0
5138.0,3.0,1.0,2021,15.0
5442.0,3.0,1.0,2021,16.0
14856.0,3.0,1.0,2021,17.0
11474.0,3.0,1.0,2021,18.0
6378.0,3.0,1.0,2021,19.0
4856.0,3.0,1.0,2021,20.0
1930.0,3.0,1.0,2021,21.0
3972.0,3.0,1.0,2021,22.0
1954.0,3.0,1.0,2021,23.0
3786.0,4.0,1.0,2021,0.0
3422.0,4.0,1.0,2021,1.0
2080.0,4.0,1.0,2021,2.0
3872.0,4.0,1.0,2021,3.0
2712.0,4.0,1.0,2021,4.0
3076.0,4.0,1.0,2021,5.0
3620.0,4.0,1.0,2021,6.0
4032.0,4.0,1.0,2021,7.0
10570.0,4.0,1.0,2021,8.0
12792.0,4.0,1.0,2021,9.0
3872.0,4.0,1.0,2021,10.0
3796.0,4.0,1.0,2021,11.0
5010.0,4.0,1.0,2021,12.0
4120.0,4.0,1.0,2021,13.0
3684.0,4.0,1.0,2021,14.0
5250.0,4.0,1.0,2021,15.0
4478.0,4.0,1.0,2021,16.0
14010.0,4.0,1.0,2021,17.0
13804.0,4.0,1.0,2021,18.0
5860.0,4.0,1.0,2021,19.0
3432.0,4.0,1.0,2021,20.0
4258.0,4.0,1.0,2021,21.0
2846.0,4.0,1.0,2021,22.0
3938.0,4.0,1.0,2021,23.0
3360.0,5.0,1.0,2021,0.0
3002.0,5.0,1.0,2021,1.0
3910.0,5.0,1.0,2021,2.0
2334.0,5.0,1.0,2021,3.0
4262.0,5.0,1.0,2021,4.0
1940.0,5.0,1.0,2021,5.0
4222.0,5.0,1.0,2021,6.0
2332.0,5.0,1.0,2021,7.0
10706.0,5.0,1.0,2021,8.0
12028.0,5.0,1.0,2021,9.0
4648.0,5.0,1.0,2021,10.0
3904.0,5.0,1.0,2021,11.0
4051.9999999999995,5.0,1.0,2021,12.0
5560.0,5.0,1.0,2021,13.0
7156.0,5.0,1.0,2021,14.0
6614.0,5.0,1.0,2021,15.0
4178.0,5.0,1.0,2021,16.0
9992.0,5.0,1.0,2021,17.0
12960.0,5.0,1.0,2021,18.0
6660.0,5.0,1.0,2021,19.0
4356.0,5.0,1.0,2021,20.0
2774.0,5.0,1.0,2021,21.0
3272.0,5.0,1.0,2021,22.0
4140.0,5.0,1.0,2021,23.0
2132.0,6.0,1.0,2021,0.0
4674.0,6.0,1.0,2021,1.0
2508.0,6.0,1.0,2021,2.0
3930.0,6.0,1.0,2021,3.0
2192.0,6.0,1.0,2021,4.0
3666.0,6.0,1.0,2021,5.0
3104.0,6.0,1.0,2021,6.0
2808.0,6.0,1.0,2021,7.0
12916.0,6.0,1.0,2021,8.0
14798.0,6.0,1.0,2021,9.0
4476.0,6.0,1.0,2021,10.0
5920.0,6.0,1.0,2021,11.0
3664.0,6.0,1.0,2021,12.0
6136.0,6.0,1.0,2021,13.0
3888.0,6.0,1.0,2021,14.0
4866.0,6.0,1.0,2021,15.0
7352.0,6.0,1.0,2021,16.0
14004.0,6.0,1.0,2021,17.0
13362.0,6.0,1.0,2021,18.0
6136.0,6.0,1.0,2021,19.0
3308.0,6.0,1.0,2021,20.0
3388.0,6.0,1.0,2021,21.0
2572.0,6.0,1.0,2021,22.0
3776.0,6.0,1.0,2021,23.0
2842.0,7.0,1.0,2021,0.0
3514.0,7.0,1.0,2021,1.0
3224.0,7.0,1.0,2021,2.0
2780.0,7.0,1.0,2021,3.0
3652.0,7.0,1.0,2021,4.0
3750.0,7.0,1.0,2021,5.0
2490.0,7.0,1.0,2021,6.0
3334.0,7.0,1.0,2021,7.0
10198.0,7.0,1.0,2021,8.0
12752.0,7.0,1.0,2021,9.0
5458.0,7.0,1.0,2021,10.0
7202.0,7.0,1.0,2021,11.0
7650.0,7.0,1.0,2021,12.0
7224.0,7.0,1.0,2021,13.0
5026.0,7.0,1.0,2021,14.0
6526.0,7.0,1.0,2021,15.0
6130.0,7.0,1.0,2021,16.0
12604.0,7.0,1.0,2021,17.0
15354.0,7.0,1.0,2021,18.0
8482.0,7.0,1.0,2021,19.0
3528.0,7.0,1.0,2021,20.0
2004.0,7.0,1.0,2021,21.0
3262.0,7.0,1.0,2021,22.0
2564.0,7.0,1.0,2021,23.0
3348.0,8.0,1.0,2021,0.0
1932.0,8.0,1.0,2021,1.0
3834.0,8.0,1.0,2021,2.0
1908.0,8.0,1.0,2021,3.0
3664.0,8.0,1.0,2021,4.0
2482.0,8.0,1.0,2021,5.0
3210.0,8.0,1.0,2021,6.0
2934.0,8.0,1.0,2021,7.0
12752.0,8.0,1.0,2021,8.0
8606.0,8.0,1.0,2021,9.0
4254.0,8.0,1.0,2021,10.0
2458.0,8.0,1.0,2021,11.0
4724.0,8.0,1.0,2021,12.0
2640.0,8.0,1.0,2021,13.0
5304.0,8.0,1.0,2021,14.0
2956.0,8.0,1.0,2021,15.0
5618.0,8.0,1.0,2021,16.0
10618.0,8.0,1.0,2021,17.0
12228.0,8.0,1.0,2021,18.0
5582.0,8.0,1.0,2021,19.0
3506.0,8.0,1.0,2021,20.0
2506.0,8.0,1.0,2021,21.0
3630.0,8.0,1.0,2021,22.0
2610.0,8.0,1.0,2021,23.0
3894.0,9.0,1.0,2021,0.0
2546.0,9.0,1.0,2021,1.0
3114.0,9.0,1.0,2021,2.0
3188.0,9.0,1.0,2021,3.0
2506.0,9.0,1.0,2021,4.0
3872.0,9.0,1.0,2021,5.0
1960.0,9.0,1.0,2021,6.0
3272.0,9.0,1.0,2021,7.0
11484.0,9.0,1.0,2021,8.0
10276.0,9.0,1.0,2021,9.0
4690.0,9.0,1.0,2021,10.0
4896.0,9.0,1.0,2021,11.0
4794.0,9.0,1.0,2021,12.0
4740.0,9.0,1.0,2021,13.0
5570.0,9.0,1.0,2021,14.0
4288.0,9.0,1.0,2021,15.0
5876.0,9.0,1.0,2021,16.0
13038.0,9.0,1.0,2021,17.0
11594.0,9.0,1.0,2021,18.0
5428.0,9.0,1.0,2021,19.0
4228.0,9.0,1.0,2021,20.0
2558.0,9.0,1.0,2021,21.0
4462.0,9.0,1.0,2021,22.0
2140.0,9.0,1.0,2021,23.0
4448.0,10.0,1.0,2021,0.0
2370.0,10.0,1.0,2021,1.0
4130.0,10.0,1.0,2021,2.0
2037.9999999999998,10.0,1.0,2021,3.0
3974.0,10.0,1.0,2021,4.0
1986.0,10.0,1.0,2021,5.0
3702.0,10.0,1.0,2021,6.0
3594.0,10.0,1.0,2021,7.0
15868.0,10.0,1.0,2021,8.0
12516.0,10.0,1.0,2021,9.0
4214.0,10.0,1.0,2021,10.0
3638.0,10.0,1.0,2021,11.0
5896.0,10.0,1.0,2021,12.0
3536.0,10.0,1.0,2021,13.0
6426.0,10.0,1.0,2021,14.0
3850.0,10.0,1.0,2021,15.0
4644.0,10.0,1.0,2021,16.0
8824.0,10.0,1.0,2021,17.0
13410.0,10.0,1.0,2021,18.0
6688.0,10.0,1.0,2021,19.0
1984.0,10.0,1.0,2021,20.0
3578.0,10.0,1.0,2021,21.0
3490.0,10.0,1.0,2021,22.0
2944.0,10.0,1.0,2021,23.0
4126.0,11.0,1.0,2021,0.0
2524.0,11.0,1.0,2021,1.0
4148.0,11.0,1.0,2021,2.0
2862.0,11.0,1.0,2021,3.0
3020.0,11.0,1.0,2021,4.0
3126.0,11.0,1.0,2021,5.0
3366.0,11.0,1.0,2021,6.0
3204.0,11.0,1.0,2021,7.0
10510.0,11.0,1.0,2021,8.0
11086.0,11.0,1.0,2021,9.0
2862.0,11.0,1.0,2021,10.0
4742.0,11.0,1.0,2021,11.0
3834.0,11.0,1.0,2021,12.0
4074.0,11.0,1.0,2021,13.0
4204.0,11.0,1.0,2021,14.0
4882.0,11.0,1.0,2021,15.0
4536.0,11.0,1.0,2021,16.0
12378.0,11.0,1.0,2021,17.0
15492.0,11.0,1.0,2021,18.0
6644.0,11.0,1.0,2021,19.0
2222.0,11.0,1.0,2021,20.0
3742.0,11.0,1.0,2021,21.0
1968.0,11.0,1.0,2021,22.0
3128.0,11.0,1.0,2021,23.0
1990.0,12.0,1.0,2021,0.0
3600.0,12.0,1.0,2021,1.0
1966.0,12.0,1.0,2021,2.0
3988.0,12.0,1.0,2021,3.0
2012.0,12.0,1.0,2021,4.0
4051.9999999999995,12.0,1.0,2021,5.0
2012.0,12.0,1.0,2021,6.0
