values,date,month,year,hour
5.6,1,1,2021,0
5.6,1,1,2021,1
5.6,1,1,2021,2
5.2,1,1,2021,3
6,1,1,2021,4
8.4,1,1,2021,5
6.8,1,1,2021,6
6,1,1,2021,7
6.4,1,1,2021,8
6,1,1,2021,9
5.2,1,1,2021,10
8.8,1,1,2021,11
6.4,1,1,2021,12
7.2,1,1,2021,13
9.6,1,1,2021,14
8,1,1,2021,15
6.4,1,1,2021,16
6.8,1,1,2021,17
6.4,1,1,2021,18
6,1,1,2021,19
6.4,1,1,2021,20
8,1,1,2021,21
5.2,1,1,2021,22
6.8,1,1,2021,23
7.2,2,1,2021,0
6.4,2,1,2021,1
5.6,2,1,2021,2
5.6,2,1,2021,3
5.2,2,1,2021,4
5.6,2,1,2021,5
9.6,2,1,2021,6
10.4,2,1,2021,7
10.8,2,1,2021,8
8.4,2,1,2021,9
6.8,2,1,2021,10
6.4,2,1,2021,11
5.6,2,1,2021,12
4.8,2,1,2021,13
7.2,2,1,2021,14
5.6,2,1,2021,15
5.2,2,1,2021,16
5.2,2,1,2021,17
6.8,2,1,2021,18
7.2,2,1,2021,19
6,2,1,2021,20
8.4,2,1,2021,21
9.6,2,1,2021,22
7.6,2,1,2021,23
7.2,3,1,2021,0
6.4,3,1,2021,1
6,3,1,2021,2
6.4,3,1,2021,3
9.6,3,1,2021,4
10,3,1,2021,5
10.4,3,1,2021,6
7.6,3,1,2021,7
10.4,3,1,2021,8
10,3,1,2021,9
7.2,3,1,2021,10
6.4,3,1,2021,11
6.4,3,1,2021,12
5.6,3,1,2021,13
6.4,3,1,2021,14
7.2,3,1,2021,15
6.4,3,1,2021,16
6.4,3,1,2021,17
6.8,3,1,2021,18
8.8,3,1,2021,19
10.4,3,1,2021,20
8.8,3,1,2021,21
6.8,3,1,2021,22
8.4,3,1,2021,23
6.8,4,1,2021,0
8.4,4,1,2021,1
8.4,4,1,2021,2
6,4,1,2021,3
6.4,4,1,2021,4
6,4,1,2021,5
6.4,4,1,2021,6
9.2,4,1,2021,7
14.4,4,1,2021,8
18,4,1,2021,9
16,4,1,2021,10
16.4,4,1,2021,11
16,4,1,2021,12
17.6,4,1,2021,13
18,4,1,2021,14
161.2,4,1,2021,15
308.4,4,1,2021,16
322.4,4,1,2021,17
319.6,4,1,2021,18
314,4,1,2021,19
322.4,4,1,2021,20
324.8,4,1,2021,21
318.4,4,1,2021,22
316.8,4,1,2021,23
314,5,1,2021,0
319.6,5,1,2021,1
316.8,5,1,2021,2
314.4,5,1,2021,3
315.6,5,1,2021,4
316,5,1,2021,5
317.6,5,1,2021,6
325.6,5,1,2021,7
321.2,5,1,2021,8
322.8,5,1,2021,9
