values,date,month,year,hour
5.6,1,1,2022,0
4.4,1,1,2022,1
4.4,1,1,2022,2
5.2,1,1,2022,3
8.4,1,1,2022,4
9.0,1,1,2022,5
5.6,1,1,2022,6
5.1,1,1,2022,7
5.1,1,1,2022,8
4.2,1,1,2022,9
4.1,1,1,2022,10
6.6000000000000005,1,1,2022,11
4.9,1,1,2022,12
5.7,1,1,2022,13
9.3,1,1,2022,14
6.0,1,1,2022,15
6.2,1,1,2022,16
6.4,1,1,2022,17
5.6,1,1,2022,18
5.1,1,1,2022,19
4.7,1,1,2022,20
5.8,1,1,2022,21
4.0,1,1,2022,22
5.6,1,1,2022,23
5.4,2,1,2022,0
7.2,2,1,2022,1
8.2,2,1,2022,2
5.1,2,1,2022,3
4.0,2,1,2022,4
9.399999999999999,2,1,2022,5
9.899999999999999,2,1,2022,6
8.6,2,1,2022,7
9.2,2,1,2022,8
7.5,2,1,2022,9
5.9,2,1,2022,10
4.9,2,1,2022,11
4.0,2,1,2022,12
4.8,2,1,2022,13
7.1,2,1,2022,14
8.1,2,1,2022,15
6.6,2,1,2022,16
4.9,2,1,2022,17
5.4,2,1,2022,18
5.0,2,1,2022,19
7.9,2,1,2022,20
7.800000000000001,2,1,2022,21
7.0,2,1,2022,22
6.0,2,1,2022,23
7.5,3,1,2022,0
6.9,3,1,2022,1
4.5,3,1,2022,2
4.5,3,1,2022,3
6.3,3,1,2022,4
6.4,3,1,2022,5
7.2,3,1,2022,6
12.399999999999999,3,1,2022,7
11.2,3,1,2022,8
32.3,3,1,2022,9
88.39999999999999,3,1,2022,10
99.5,3,1,2022,11
94.60000000000001,3,1,2022,12
90.7,3,1,2022,13
89.0,3,1,2022,14
88.5,3,1,2022,15
69.60000000000001,3,1,2022,16
4.9,3,1,2022,17
5.1,3,1,2022,18
7.5,3,1,2022,19
10.9,3,1,2022,20
10.100000000000001,3,1,2022,21
6.3,3,1,2022,22
6.300000000000001,3,1,2022,23
4.7,4,1,2022,0
5.6,4,1,2022,1
6.0,4,1,2022,2
4.3,4,1,2022,3
20.099999999999998,4,1,2022,4
84.2,4,1,2022,5
92.4,4,1,2022,6
96.1,4,1,2022,7
98.9,4,1,2022,8
96.9,4,1,2022,9
94.9,4,1,2022,10
92.9,4,1,2022,11
81.1,4,1,2022,12
11.600000000000001,4,1,2022,13
11.0,4,1,2022,14
82.69999999999999,4,1,2022,15
156.5,4,1,2022,16
163.1,4,1,2022,17
162.3,4,1,2022,18
160.9,4,1,2022,19
167.0,4,1,2022,20
167.5,4,1,2022,21
161.6,4,1,2022,22
160.6,4,1,2022,23
158.8,5,1,2022,0
162.20000000000002,5,1,2022,1
160.4,5,1,2022,2
159.5,5,1,2022,3
161.10000000000002,5,1,2022,4
166.6,5,1,2022,5
235.20000000000002,5,1,2022,6
